CLUB,PLAYER,AGE,WEBSITE
Arsenal,Nicolas Pépé, 24,/Players/239872/Show/Nicolas-Pépé
Arsenal,Pierre-Emerick Aubameyang, 30,/Players/44120/Show/Pierre-Emerick-Aubameyang
Arsenal,Matteo Guendouzi, 20,/Players/328983/Show/Matteo-Guendouzi
Arsenal,Alexandre Lacazette, 28,/Players/73078/Show/Alexandre-Lacazette
Arsenal,Calum Chambers, 24,/Players/124316/Show/Calum-Chambers
Arsenal,Bukayo Saka, 18,/Players/367185/Show/Bukayo-Saka
Arsenal,Bernd Leno, 27,/Players/92173/Show/Bernd-Leno
Arsenal,Ainsley Maitland-Niles, 22,/Players/255169/Show/Ainsley-Maitland-Niles
Arsenal,Mesut Özil, 30,/Players/13756/Show/Mesut-Özil
Arsenal,David Luiz, 32,/Players/27586/Show/David-Luiz
Arsenal,Sokratis, 31,/Players/22210/Show/Sokratis
Arsenal,Nacho Monreal, 33,/Players/23072/Show/Nacho-Monreal
Arsenal,Granit Xhaka, 27,/Players/89401/Show/Granit-Xhaka
Arsenal,Sead Kolasinac, 26,/Players/110260/Show/Sead-Kolasinac
Arsenal,Dani Ceballos, 23,/Players/144890/Show/Dani-Ceballos
Arsenal,Lucas Torreira, 23,/Players/248109/Show/Lucas-Torreira
Arsenal,Reiss Nelson, 19,/Players/342564/Show/Reiss-Nelson
Arsenal,Joe Willock, 20,/Players/342563/Show/Joe-Willock
Arsenal,Gabriel Martinelli, 18,/Players/380706/Show/Gabriel-Martinelli
Arsenal,Henrikh Mkhitaryan, 30,/Players/28421/Show/Henrikh-Mkhitaryan
