CLUB,PLAYER,AGE,WEBSITE
Aston Villa,John McGinn, 24,/Players/318449/Show/John-McGinn
Aston Villa,Jack Grealish, 24,/Players/113069/Show/Jack-Grealish
Aston Villa,Marvelous Nakamba, 25,/Players/243249/Show/Marvelous-Nakamba
Aston Villa,Anwar El Ghazi, 24,/Players/232261/Show/Anwar-El-Ghazi
Aston Villa,Matt Targett, 24,/Players/136776/Show/Matt-Targett
Aston Villa,Frederic Guilbert, 24,/Players/260493/Show/Frederic-Guilbert
Aston Villa,Wesley, 22,/Players/328362/Show/Wesley
Aston Villa,Conor Hourihane, 28,/Players/134172/Show/Conor-Hourihane
Aston Villa,Björn Engels, 25,/Players/108493/Show/Björn-Engels
Aston Villa,Tyrone Mings, 26,/Players/123167/Show/Tyrone-Mings
Aston Villa,Douglas Luiz, 21,/Players/337883/Show/Douglas-Luiz
Aston Villa,Ezri Konsa Ngoyo, 21,/Players/301440/Show/Ezri-Konsa-Ngoyo
Aston Villa,Trézéguet, 25,/Players/313545/Show/Trézéguet
Aston Villa,Jota, 28,/Players/10447/Show/Jota
Aston Villa,Neil Taylor, 30,/Players/31558/Show/Neil-Taylor
Aston Villa,Ahmed El Mohamady, 32,/Players/34876/Show/Ahmed-El-Mohamady
Aston Villa,Tom Heaton, 33,/Players/17708/Show/Tom-Heaton
Aston Villa,Keinan Davis, 21,/Players/303107/Show/Keinan-Davis
Aston Villa,Henri Lansbury, 28,/Players/32858/Show/Henri-Lansbury
Aston Villa,Jonathan Kodjia, 29,/Players/68862/Show/Jonathan-Kodjia
