CLUB,PLAYER,AGE,WEBSITE
Bournemouth,Diego Rico, 26,/Players/323352/Show/Diego-Rico
Bournemouth,Joshua King, 27,/Players/81026/Show/Joshua-King
Bournemouth,Philip Billing, 23,/Players/145277/Show/Philip-Billing
Bournemouth,Callum Wilson, 27,/Players/134115/Show/Callum-Wilson
Bournemouth,Nathan Aké, 24,/Players/122945/Show/Nathan-Aké
Bournemouth,Steve Cook, 28,/Players/68662/Show/Steve-Cook
Bournemouth,Aaron Ramsdale, 21,/Players/316858/Show/Aaron-Ramsdale
Bournemouth,Jack Stacey, 23,/Players/231080/Show/Jack-Stacey
Bournemouth,Harry Wilson, 22,/Players/333044/Show/Harry-Wilson
Bournemouth,Ryan Fraser, 25,/Players/93160/Show/Ryan-Fraser
Bournemouth,Jefferson Lerma, 24,/Players/133464/Show/Jefferson-Lerma
Bournemouth,Chris Mepham, 21,/Players/342842/Show/Chris-Mepham
Bournemouth,Dominic Solanke, 22,/Players/136459/Show/Dominic-Solanke
Bournemouth,Simon Francis, 34,/Players/9298/Show/Simon-Francis
Bournemouth,Arnaut Danjuma Groeneveld, 22,/Players/323625/Show/Arnaut-Danjuma-Groeneveld
Bournemouth,Adam Smith, 28,/Players/69877/Show/Adam-Smith
Bournemouth,Jordon Ibe, 23,/Players/105797/Show/Jordon-Ibe
Bournemouth,Lewis Cook, 22,/Players/136456/Show/Lewis-Cook
Bournemouth,Charlie Daniels, 33,/Players/24827/Show/Charlie-Daniels
Bournemouth,Andrew Surman, 33,/Players/13447/Show/Andrew-Surman
