CLUB,PLAYER,AGE,WEBSITE
Brighton,Shane Duffy, 27,/Players/75692/Show/Shane-Duffy
Brighton,Solly March, 25,/Players/122926/Show/Solly-March
Brighton,Dan Burn, 27,/Players/82277/Show/Dan-Burn
Brighton,Davy Pröpper, 28,/Players/77429/Show/Davy-Pröpper
Brighton,Adam Webster, 24,/Players/109922/Show/Adam-Webster
Brighton,Lewis Dunk, 27,/Players/86441/Show/Lewis-Dunk
Brighton,Dale Stephens, 30,/Players/24238/Show/Dale-Stephens
Brighton,Martín Montoya, 28,/Players/91387/Show/Martín-Montoya
Brighton,Pascal Groß, 28,/Players/71824/Show/Pascal-Groß
Brighton,Leandro Trossard, 24,/Players/113994/Show/Leandro-Trossard
Brighton,Neal Maupay, 23,/Players/119822/Show/Neal-Maupay
Brighton,Mat Ryan, 27,/Players/81523/Show/Mat-Ryan
Brighton,Aaron Connolly, 19,/Players/344325/Show/Aaron-Connolly
Brighton,Aaron Mooy, 29,/Players/318153/Show/Aaron-Mooy
Brighton,Steven Alzate, 21,/Players/362146/Show/Steven-Alzate
Brighton,Florin Andone, 26,/Players/255183/Show/Florin-Andone
Brighton,Jürgen Locadia, 25,/Players/107622/Show/Jürgen-Locadia
Brighton,Yves Bissouma, 23,/Players/303096/Show/Yves-Bissouma
Brighton,Glenn Murray, 36,/Players/21427/Show/Glenn-Murray
Brighton,Bernardo, 24,/Players/302588/Show/Bernardo
Brighton,Gaëtan Bong, 31,/Players/32720/Show/Gaëtan-Bong
