CLUB,PLAYER,AGE,WEBSITE
Burnley,Johann Gudmundsson, 28,/Players/41868/Show/Johann-Gudmundsson
Burnley,Erik Pieters, 31,/Players/24148/Show/Erik-Pieters
Burnley,James Tarkowski, 26,/Players/131464/Show/James-Tarkowski
Burnley,Dwight McNeil, 19,/Players/357427/Show/Dwight-McNeil
Burnley,Ashley Barnes, 29,/Players/33386/Show/Ashley-Barnes
Burnley,Charlie Taylor, 26,/Players/107462/Show/Charlie-Taylor
Burnley,Ben Mee, 30,/Players/94935/Show/Ben-Mee
Burnley,Matthew Lowton, 30,/Players/80067/Show/Matthew-Lowton
Burnley,Nick Pope, 27,/Players/105720/Show/Nick-Pope
Burnley,Jeff Hendrick, 27,/Players/86454/Show/Jeff-Hendrick
Burnley,Ashley Westwood, 29,/Players/79050/Show/Ashley-Westwood
Burnley,Jack Cork, 30,/Players/22847/Show/Jack-Cork
Burnley,Chris Wood, 27,/Players/73380/Show/Chris-Wood
Burnley,Matej Vydra, 27,/Players/84129/Show/Matej-Vydra
Burnley,Jay Rodriguez, 30,/Players/33891/Show/Jay-Rodriguez
Burnley,Robbie Brady, 27,/Players/93473/Show/Robbie-Brady
Burnley,Aaron Lennon, 32,/Players/5625/Show/Aaron-Lennon
