CLUB,PLAYER,AGE,WEBSITE
Liverpool,Roberto Firmino, 28,/Players/96182/Show/Roberto-Firmino
Liverpool,Joel Matip, 28,/Players/74341/Show/Joel-Matip
Liverpool,Sadio Mané, 27,/Players/109915/Show/Sadio-Mané
Liverpool,Dejan Lovren, 30,/Players/29106/Show/Dejan-Lovren
Liverpool,Trent Alexander-Arnold, 20,/Players/318871/Show/Trent-Alexander-Arnold
Liverpool,Mohamed Salah, 27,/Players/108226/Show/Mohamed-Salah
Liverpool,Virgil van Dijk, 28,/Players/95408/Show/Virgil-van-Dijk
Liverpool,Andrew Robertson, 25,/Players/115726/Show/Andrew-Robertson
Liverpool,Fabinho, 25,/Players/115916/Show/Fabinho
Liverpool,Georginio Wijnaldum, 28,/Players/33568/Show/Georginio-Wijnaldum
Liverpool,Jordan Henderson, 29,/Players/68659/Show/Jordan-Henderson
Liverpool,Divock Origi, 24,/Players/124688/Show/Divock-Origi
Liverpool,Alisson, 27,/Players/114147/Show/Alisson
Liverpool,Alex Oxlade Chamberlain, 26,/Players/84146/Show/Alex-Oxlade-Chamberlain
Liverpool,Adrián, 32,/Players/73399/Show/Adrián
Liverpool,Joe Gomez, 22,/Players/136451/Show/Joe-Gomez
Liverpool,James Milner, 33,/Players/4511/Show/James-Milner
Liverpool,Xherdan Shaqiri, 27,/Players/76304/Show/Xherdan-Shaqiri
Liverpool,Adam Lallana, 31,/Players/21683/Show/Adam-Lallana
