CLUB,PLAYER,AGE,WEBSITE
Manchester City,Kevin De Bruyne, 28,/Players/73084/Show/Kevin-De-Bruyne
Manchester City,Sergio Agüero, 31,/Players/14260/Show/Sergio-Agüero
Manchester City,Riyad Mahrez, 28,/Players/104749/Show/Riyad-Mahrez
Manchester City,Raheem Sterling, 24,/Players/97692/Show/Raheem-Sterling
Manchester City,Rodrigo, 23,/Players/303139/Show/Rodrigo
Manchester City,Bernardo Silva, 25,/Players/136741/Show/Bernardo-Silva
Manchester City,Fernandinho, 34,/Players/19119/Show/Fernandinho
Manchester City,Angeliño, 22,/Players/255089/Show/Angeliño
Manchester City,David Silva, 33,/Players/14102/Show/David-Silva
Manchester City,Aymeric Laporte, 25,/Players/122117/Show/Aymeric-Laporte
Manchester City,Oleksandr Zinchenko, 22,/Players/273257/Show/Oleksandr-Zinchenko
Manchester City,Gabriel Jesus, 22,/Players/279379/Show/Gabriel-Jesus
Manchester City,John Stones, 25,/Players/101374/Show/John-Stones
Manchester City,Nicolás Otamendi, 31,/Players/75691/Show/Nicolás-Otamendi
Manchester City,Ederson, 26,/Players/121774/Show/Ederson
Manchester City,Kyle Walker, 29,/Players/69778/Show/Kyle-Walker
Manchester City,Ilkay Gündogan, 28,/Players/77464/Show/Ilkay-Gündogan
Manchester City,Benjamin Mendy, 25,/Players/105962/Show/Benjamin-Mendy
Manchester City,João Cancelo, 25,/Players/128967/Show/João-Cancelo
Manchester City,Eric Garcia, 18,/Players/368091/Show/Eric-Garcia
Manchester City,Phil Foden, 19,/Players/331254/Show/Phil-Foden
