CLUB,PLAYER,AGE,WEBSITE
Manchester United,Anthony Martial, 23,/Players/122366/Show/Anthony-Martial
Manchester United,Aaron Wan-Bissaka, 21,/Players/331924/Show/Aaron-Wan-Bissaka
Manchester United,Scott McTominay, 22,/Players/336915/Show/Scott-McTominay
Manchester United,Paul Pogba, 26,/Players/97752/Show/Paul-Pogba
Manchester United,Marcus Rashford, 21,/Players/300299/Show/Marcus-Rashford
Manchester United,Harry Maguire, 26,/Players/99487/Show/Harry-Maguire
Manchester United,Ashley Young, 34,/Players/8166/Show/Ashley-Young
Manchester United,Diogo Dalot, 20,/Players/353418/Show/Diogo-Dalot
Manchester United,Luke Shaw, 24,/Players/118244/Show/Luke-Shaw
Manchester United,Victor Lindelöf, 25,/Players/100008/Show/Victor-Lindelöf
Manchester United,Daniel James, 21,/Players/302313/Show/Daniel-James
Manchester United,David de Gea, 28,/Players/79554/Show/David-de-Gea
Manchester United,Andreas Pereira, 23,/Players/243254/Show/Andreas-Pereira
Manchester United,Nemanja Matic, 31,/Players/38128/Show/Nemanja-Matic
Manchester United,Fred, 26,/Players/114397/Show/Fred
Manchester United,Jesse Lingard, 26,/Players/109000/Show/Jesse-Lingard
Manchester United,Marcos Rojo, 29,/Players/70050/Show/Marcos-Rojo
Manchester United,Juan Mata, 31,/Players/25363/Show/Juan-Mata
Manchester United,Mason Greenwood, 18,/Players/367782/Show/Mason-Greenwood
Manchester United,Tahith Chong, 19,/Players/365244/Show/Tahith-Chong
Manchester United,Axel Tuanzebe, 21,/Players/299271/Show/Axel-Tuanzebe
Manchester United,Angel Gomes, 19,/Players/338497/Show/Angel-Gomes
