CLUB,PLAYER,AGE,WEBSITE
Tottenham,Son Heung-Min, 27,/Players/91909/Show/Son-Heung-Min
Tottenham,Harry Kane, 26,/Players/83532/Show/Harry-Kane
Tottenham,Tanguy Ndombele, 22,/Players/321389/Show/Tanguy-Ndombele
Tottenham,Erik Lamela, 27,/Players/75830/Show/Erik-Lamela
Tottenham,Hugo Lloris, 32,/Players/25604/Show/Hugo-Lloris
Tottenham,Jan Vertonghen, 32,/Players/21778/Show/Jan-Vertonghen
Tottenham,Kyle Walker-Peters, 22,/Players/313672/Show/Kyle-Walker-Peters
Tottenham,Toby Alderweireld, 30,/Players/69933/Show/Toby-Alderweireld
Tottenham,Christian Eriksen, 27,/Players/69344/Show/Christian-Eriksen
Tottenham,Serge Aurier, 26,/Players/83683/Show/Serge-Aurier
Tottenham,Lucas Moura, 27,/Players/92508/Show/Lucas-Moura
Tottenham,Harry Winks, 23,/Players/143990/Show/Harry-Winks
Tottenham,Danny Rose, 29,/Players/24711/Show/Danny-Rose
Tottenham,Paulo Gazzaniga, 27,/Players/104732/Show/Paulo-Gazzaniga
Tottenham,Moussa Sissoko, 30,/Players/29595/Show/Moussa-Sissoko
Tottenham,Davinson Sánchez, 23,/Players/322655/Show/Davinson-Sánchez
Tottenham,Ben Davies, 26,/Players/103837/Show/Ben-Davies
Tottenham,Eric Dier, 25,/Players/117973/Show/Eric-Dier
Tottenham,Giovani Lo Celso, 23,/Players/303908/Show/Giovani-Lo-Celso
Tottenham,Georges-Kévin Nkoudou, 24,/Players/134887/Show/Georges-Kévin-Nkoudou
Tottenham,Victor Wanyama, 28,/Players/71714/Show/Victor-Wanyama
Tottenham,Oliver Skipp, 19,/Players/364215/Show/Oliver-Skipp
Tottenham,Dele Alli, 23,/Players/131519/Show/Dele-Alli
