CLUB,PLAYER,AGE,WEBSITE
West Ham,Sébastien Haller, 25,/Players/236544/Show/Sébastien-Haller
West Ham,Felipe Anderson, 26,/Players/93026/Show/Felipe-Anderson
West Ham,Arthur Masuaku, 25,/Players/122980/Show/Arthur-Masuaku
West Ham,Declan Rice, 20,/Players/332325/Show/Declan-Rice
West Ham,Andriy Yarmolenko, 29,/Players/41672/Show/Andriy-Yarmolenko
West Ham,Manuel Lanzini, 26,/Players/89998/Show/Manuel-Lanzini
West Ham,Angelo Ogbonna, 31,/Players/23547/Show/Angelo-Ogbonna
West Ham,Ryan Fredericks, 26,/Players/83554/Show/Ryan-Fredericks
West Ham,Lukasz Fabianski, 34,/Players/20973/Show/Lukasz-Fabianski
West Ham,Aaron Cresswell, 29,/Players/68049/Show/Aaron-Cresswell
West Ham,Mark Noble, 32,/Players/8247/Show/Mark-Noble
West Ham,Issa Diop, 22,/Players/300359/Show/Issa-Diop
West Ham,Robert Snodgrass, 32,/Players/9767/Show/Robert-Snodgrass
West Ham,Michail Antonio, 29,/Players/69517/Show/Michail-Antonio
West Ham,Chicharito, 31,/Players/35003/Show/Chicharito
West Ham,Pablo Fornals, 23,/Players/297203/Show/Pablo-Fornals
West Ham,Pablo Zabaleta, 34,/Players/14244/Show/Pablo-Zabaleta
West Ham,Roberto Jiménez, 33,/Players/19442/Show/Roberto-Jiménez
West Ham,Jack Wilshere, 27,/Players/42686/Show/Jack-Wilshere
West Ham,Carlos Sánchez, 33,/Players/26720/Show/Carlos-Sánchez
West Ham,Fabián Balbuena, 28,/Players/282871/Show/Fabián-Balbuena
