ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.1	,2(6),-	,Burnley,-	,67.7	,2	,6.03,2019/2020,EPL,-	,-	,-	,239	
0.3	,14(2),1	,Burnley,-	,78.8	,1	,6.38,2018/2019,EPL,0.1	,1	,1	,1217	
-	,1,-	,Everton,-	,71.4	,-	,6.28,2017/2018,UEL,-	,-	,-	,71	
0.3	,9(6),-	,Everton,-	,69.1	,-	,6.36,2017/2018,EPL,0.3	,-	,-	,795	
0.7	,13(1),-	,Burnley,-	,70.8	,2	,6.58,2017/2018,EPL,0.5	,-	,2	,1125	
0.5	,6(5),-	,Everton,-	,80.6	,-	,6.37,2016/2017,EPL,-	,-	,1	,510	
0.7	,17(8),-	,Everton,-	,81.1	,1	,6.73,2015/2016,EPL,-	,5	,-	,1540	
0.2	,2(3),-	,Tottenham,-	,72.1	,-	,6.45,2014/2015,UEL,0.2	,-	,-	,238	
0.5	,12(2),-	,Everton,-	,78	,2	,6.81,2014/2015,EPL,0.2	,2	,-	,1072	
0.2	,3(6),-	,Tottenham,-	,85.2	,1	,6.42,2014/2015,EPL,-	,-	,2	,276	
0.8	,3(1),-	,Tottenham,-	,80.2	,-	,6.52,2013/2014,UEL,-	,-	,-	,275	
0.9	,26(1),1	,Tottenham,-	,85	,1	,6.73,2013/2014,EPL,0.1	,1	,3	,2187	
0.5	,9(2),-	,Tottenham,-	,82.9	,-	,6.70,2012/2013,UEL,-	,-	,1	,756	
0.9	,33(1),1	,Tottenham,-	,84.5	,1	,7.03,2012/2013,EPL,0.2	,4	,7	,2840	
0.8	,19(4),-	,Tottenham,-	,86.1	,1	,6.83,2011/2012,EPL,0.2	,3	,5	,1582	
0.1	,7(2),-	,Tottenham,-	,87.5	,-	,6.97,2010/2011,UCL,0.1	,-	,5	,646	
0.8	,25(9),1	,Tottenham,-	,84.4	,1	,6.84,2010/2011,EPL,0.1	,3	,2	,2366	
1.1	,20(2),1	,Tottenham,-	,84	,1	,7.33,2009/2010,EPL,-	,3	,9	,1805	
0.7,282,5,,0,81.3,14,6.75,Total / Average,,0.1,22,38,19540
0.1	,2(6),-	,Burnley,-	,67.7	,2	,6.03,2019/2020,EPL,-	,-	,-	,239	
0.3	,14(2),1	,Burnley,-	,78.8	,1	,6.38,2018/2019,EPL,0.1	,1	,1	,1217	
-	,1,-	,Everton,-	,71.4	,-	,6.28,2017/2018,UEL,-	,-	,-	,71	
0.3	,9(6),-	,Everton,-	,69.1	,-	,6.36,2017/2018,EPL,0.3	,-	,-	,795	
0.7	,13(1),-	,Burnley,-	,70.8	,2	,6.58,2017/2018,EPL,0.5	,-	,2	,1125	
0.5	,6(5),-	,Everton,-	,80.6	,-	,6.37,2016/2017,EPL,-	,-	,1	,510	
0.7	,17(8),-	,Everton,-	,81.1	,1	,6.73,2015/2016,EPL,-	,5	,-	,1540	
0.2	,2(3),-	,Tottenham,-	,72.1	,-	,6.45,2014/2015,UEL,0.2	,-	,-	,238	
0.5	,12(2),-	,Everton,-	,78	,2	,6.81,2014/2015,EPL,0.2	,2	,-	,1072	
0.2	,3(6),-	,Tottenham,-	,85.2	,1	,6.42,2014/2015,EPL,-	,-	,2	,276	
0.8	,3(1),-	,Tottenham,-	,80.2	,-	,6.52,2013/2014,UEL,-	,-	,-	,275	
0.9	,26(1),1	,Tottenham,-	,85	,1	,6.73,2013/2014,EPL,0.1	,1	,3	,2187	
0.5	,9(2),-	,Tottenham,-	,82.9	,-	,6.70,2012/2013,UEL,-	,-	,1	,756	
0.9	,33(1),1	,Tottenham,-	,84.5	,1	,7.03,2012/2013,EPL,0.2	,4	,7	,2840	
0.8	,19(4),-	,Tottenham,-	,86.1	,1	,6.83,2011/2012,EPL,0.2	,3	,5	,1582	
0.1	,7(2),-	,Tottenham,-	,87.5	,-	,6.97,2010/2011,UCL,0.1	,-	,5	,646	
0.8	,25(9),1	,Tottenham,-	,84.4	,1	,6.84,2010/2011,EPL,0.1	,3	,2	,2366	
1.1	,20(2),1	,Tottenham,-	,84	,1	,7.33,2009/2010,EPL,-	,3	,9	,1805	
0.7,282,5,,0,81.3,14,6.75,Total / Average,,0.1,22,38,19540
