ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.4	,3(5),-	,Crystal Palac..,-	,72.6	,-	,6.69,2019/2020,EPL,0.1	,1	,-	,325	
1.7	,34(4),2	,Crystal Palac..,-	,78.8	,1	,6.98,2018/2019,EPL,0.1	,6	,4	,3018	
1.7	,35(1),1	,Crystal Palac..,-	,78.6	,3	,7.11,2017/2018,EPL,0.1	,2	,7	,3129	
1.6	,30(6),4	,Crystal Palac..,-	,75.2	,4	,7.06,2016/2017,EPL,0.1	,3	,4	,2529	
0.3	,2(1),-	,Tottenham,-	,88.7	,-	,6.90,2015/2016,UEL,-	,-	,1	,168	
1.7	,0(3),-	,Tottenham,-	,82.1	,-	,6.60,2015/2016,EPL,-	,-	,-	,64	
1.8	,12(1),1	,Newcastle Uni..,-	,81.3	,-	,7.35,2015/2016,EPL,-	,4	,2	,1089	
1.9	,6(1),1	,Tottenham,-	,86	,1	,7.26,2014/2015,UEL,-	,1	,1	,512	
0.9	,10(7),-	,Tottenham,-	,80.9	,2	,6.54,2014/2015,EPL,0.1	,2	,2	,754	
2.8	,5,1	,Tottenham,-	,84.5	,-	,7.44,2013/2014,UEL,0.2	,-	,1	,406	
2.2	,12(13),3	,Tottenham,-	,84.9	,2	,6.92,2013/2014,EPL,-	,1	,-	,1226	
0.3	,1(2),-	,Tottenham,-	,90.9	,1	,6.13,2012/2013,UEL,-	,-	,-	,68	
0.4	,0(5),-	,Tottenham,-	,100	,-	,6.26,2012/2013,EPL,-	,-	,-	,29	
2.9	,12,3	,Queens Park R..,-	,78.1	,2	,7.37,2012/2013,EPL,-	,2	,1	,1019	
1.7,211,16,,0,80.1,16,6.99,Total / Average,,0.1,22,23,14336
0.4	,3(5),-	,Crystal Palac..,-	,72.6	,-	,6.69,2019/2020,EPL,0.1	,1	,-	,325	
1.7	,34(4),2	,Crystal Palac..,-	,78.8	,1	,6.98,2018/2019,EPL,0.1	,6	,4	,3018	
1.7	,35(1),1	,Crystal Palac..,-	,78.6	,3	,7.11,2017/2018,EPL,0.1	,2	,7	,3129	
1.6	,30(6),4	,Crystal Palac..,-	,75.2	,4	,7.06,2016/2017,EPL,0.1	,3	,4	,2529	
0.3	,2(1),-	,Tottenham,-	,88.7	,-	,6.90,2015/2016,UEL,-	,-	,1	,168	
1.7	,0(3),-	,Tottenham,-	,82.1	,-	,6.60,2015/2016,EPL,-	,-	,-	,64	
1.8	,12(1),1	,Newcastle Uni..,-	,81.3	,-	,7.35,2015/2016,EPL,-	,4	,2	,1089	
1.9	,6(1),1	,Tottenham,-	,86	,1	,7.26,2014/2015,UEL,-	,1	,1	,512	
0.9	,10(7),-	,Tottenham,-	,80.9	,2	,6.54,2014/2015,EPL,0.1	,2	,2	,754	
2.8	,5,1	,Tottenham,-	,84.5	,-	,7.44,2013/2014,UEL,0.2	,-	,1	,406	
2.2	,12(13),3	,Tottenham,-	,84.9	,2	,6.92,2013/2014,EPL,-	,1	,-	,1226	
0.3	,1(2),-	,Tottenham,-	,90.9	,1	,6.13,2012/2013,UEL,-	,-	,-	,68	
0.4	,0(5),-	,Tottenham,-	,100	,-	,6.26,2012/2013,EPL,-	,-	,-	,29	
2.9	,12,3	,Queens Park R..,-	,78.1	,2	,7.37,2012/2013,EPL,-	,2	,1	,1019	
1.7,211,16,,0,80.1,16,6.99,Total / Average,,0.1,22,23,14336
