ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(1),-	,Manchester Ci..,-	,78.1	,1	,7.14,2019/2020,EPL,-	,-	,-	,45	
0.8	,34,1	,PSV Eindhoven,-	,77.5	,3	,7.55,2018/2019,NE,0.8	,1	,9	,3050	
0.7	,6,-	,PSV Eindhoven,-	,69.6	,1	,6.86,2018/2019,UCL,0.5	,-	,1	,540	
0.9	,34,4	,NAC Breda,-	,76.3	,3	,7.23,2017/2018,NE,0.4	,3	,6	,3060	
0.6	,10(4),-	,New York City..,-	,76.4	,-	,6.68,2015,UMLS,0.6	,-	,4	,992	
0.8,89,5,,0,76.3,8,7.24,Total / Average,,0.6,4,20,7687
-	,0(1),-	,Manchester Ci..,-	,78.1	,1	,7.14,2019/2020,EPL,-	,-	,-	,45	
0.8	,34,1	,PSV Eindhoven,-	,77.5	,3	,7.55,2018/2019,NE,0.8	,1	,9	,3050	
0.7	,6,-	,PSV Eindhoven,-	,69.6	,1	,6.86,2018/2019,UCL,0.5	,-	,1	,540	
0.9	,34,4	,NAC Breda,-	,76.3	,3	,7.23,2017/2018,NE,0.4	,3	,6	,3060	
0.6	,10(4),-	,New York City..,-	,76.4	,-	,6.68,2015,UMLS,0.6	,-	,4	,992	
0.8,89,5,,0,76.3,8,7.24,Total / Average,,0.6,4,20,7687
