ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2	,2(2),-	,Arsenal,-	,69.8	,1	,6.86,2019/2020,EPL,1.5	,2	,-	,168	
2	,1,-	,Arsenal,-	,65	,1	,6.19,2019/2020,UEL,2	,-	,-	,75	
2.3	,27(8),4	,Arsenal,-	,74.2	,2	,7.17,2018/2019,EPL,1.3	,13	,8	,2507	
2	,8(2),2	,Arsenal,1	,77	,2	,7.00,2018/2019,UEL,0.9	,5	,2	,651	
3	,4,1	,Arsenal,-	,84.3	,-	,7.33,2017/2018,UEL,2	,3	,-	,331	
2.1	,26(6),1	,Arsenal,-	,76.7	,1	,7.09,2017/2018,EPL,0.9	,14	,4	,2212	
2.5	,4,-	,Lyon,-	,74.5	,1	,6.98,2016/2017,UCL,0.8	,1	,-	,342	
2.8	,28(2),7	,Lyon,-	,78	,3	,7.57,2016/2017,FL1,0.9	,28	,3	,2408	
2.3	,6(2),3	,Lyon,-	,75.6	,1	,7.74,2016/2017,UEL,0.9	,6	,1	,539	
3.5	,6,-	,Lyon,-	,82.7	,-	,6.79,2015/2016,UCL,0.7	,2	,-	,501	
2.8	,34,2	,Lyon,-	,77.6	,5	,7.36,2015/2016,FL1,0.9	,21	,3	,2959	
2.9	,33,8	,Lyon,-	,78.8	,6	,7.69,2014/2015,FL1,1.1	,27	,6	,2849	
3.3	,8,1	,Lyon,-	,70.7	,1	,7.18,2013/2014,UEL,0.5	,2	,1	,662	
2.3	,35(1),3	,Lyon,2	,77	,5	,7.13,2013/2014,FL1,0.9	,15	,3	,2910	
1.4	,4(1),-	,Lyon,-	,69	,1	,7.22,2012/2013,UEL,0.8	,1	,-	,353	
1.2	,27(4),-	,Lyon,-	,77.2	,-	,6.95,2012/2013,FL1,0.9	,3	,4	,2289	
1.5	,2(4),1	,Lyon,-	,81.1	,-	,6.76,2011/2012,UCL,0.3	,1	,1	,192	
1.1	,15(14),1	,Lyon,-	,75.9	,6	,6.62,2011/2012,FL1,0.4	,5	,2	,1399	
0.5	,0(2),-	,Lyon,-	,66.7	,-	,7.19,2010/2011,UCL,0.5	,1	,2	,41	
1	,0(9),1	,Lyon,-	,73.8	,-	,6.29,2010/2011,FL1,0.3	,1	,-	,142	
1	,0(1),-	,Lyon,-	,33.3	,-	,5.94,2009/2010,FL1,-	,-	,-	,12	
2.2,328,35,,3,76.5,36,7.16,Total / Average,,0.9,151,40,23542
2	,2(2),-	,Arsenal,-	,69.8	,1	,6.86,2019/2020,EPL,1.5	,2	,-	,168	
2	,1,-	,Arsenal,-	,65	,1	,6.19,2019/2020,UEL,2	,-	,-	,75	
2.3	,27(8),4	,Arsenal,-	,74.2	,2	,7.17,2018/2019,EPL,1.3	,13	,8	,2507	
2	,8(2),2	,Arsenal,1	,77	,2	,7.00,2018/2019,UEL,0.9	,5	,2	,651	
3	,4,1	,Arsenal,-	,84.3	,-	,7.33,2017/2018,UEL,2	,3	,-	,331	
2.1	,26(6),1	,Arsenal,-	,76.7	,1	,7.09,2017/2018,EPL,0.9	,14	,4	,2212	
2.5	,4,-	,Lyon,-	,74.5	,1	,6.98,2016/2017,UCL,0.8	,1	,-	,342	
2.8	,28(2),7	,Lyon,-	,78	,3	,7.57,2016/2017,FL1,0.9	,28	,3	,2408	
2.3	,6(2),3	,Lyon,-	,75.6	,1	,7.74,2016/2017,UEL,0.9	,6	,1	,539	
3.5	,6,-	,Lyon,-	,82.7	,-	,6.79,2015/2016,UCL,0.7	,2	,-	,501	
2.8	,34,2	,Lyon,-	,77.6	,5	,7.36,2015/2016,FL1,0.9	,21	,3	,2959	
2.9	,33,8	,Lyon,-	,78.8	,6	,7.69,2014/2015,FL1,1.1	,27	,6	,2849	
3.3	,8,1	,Lyon,-	,70.7	,1	,7.18,2013/2014,UEL,0.5	,2	,1	,662	
2.3	,35(1),3	,Lyon,2	,77	,5	,7.13,2013/2014,FL1,0.9	,15	,3	,2910	
1.4	,4(1),-	,Lyon,-	,69	,1	,7.22,2012/2013,UEL,0.8	,1	,-	,353	
1.2	,27(4),-	,Lyon,-	,77.2	,-	,6.95,2012/2013,FL1,0.9	,3	,4	,2289	
1.5	,2(4),1	,Lyon,-	,81.1	,-	,6.76,2011/2012,UCL,0.3	,1	,1	,192	
1.1	,15(14),1	,Lyon,-	,75.9	,6	,6.62,2011/2012,FL1,0.4	,5	,2	,1399	
0.5	,0(2),-	,Lyon,-	,66.7	,-	,7.19,2010/2011,UCL,0.5	,1	,2	,41	
1	,0(9),1	,Lyon,-	,73.8	,-	,6.29,2010/2011,FL1,0.3	,1	,-	,142	
1	,0(1),-	,Lyon,-	,33.3	,-	,5.94,2009/2010,FL1,-	,-	,-	,12	
2.2,328,35,,3,76.5,36,7.16,Total / Average,,0.9,151,40,23542
