ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,9,-	,Arsenal,-	,69.7	,2	,6.70,2019/2020,EPL,0.2	,-	,-	,810	
-	,31(1),-	,Arsenal,-	,69.2	,-	,6.68,2018/2019,EPL,0.2	,-	,-	,2833	
-	,3,-	,Arsenal,-	,76	,-	,6.84,2018/2019,UEL,0.3	,-	,-	,270	
-	,33,1	,Bayer Leverku..,-	,66.7	,1	,6.56,2017/2018,GB,0.4	,-	,-	,2970	
-	,34,1	,Bayer Leverku..,-	,65.2	,-	,6.58,2016/2017,GB,0.1	,-	,-	,3060	
-	,7,-	,Bayer Leverku..,-	,53.9	,-	,6.54,2016/2017,UCL,0.4	,-	,-	,630	
-	,33,1	,Bayer Leverku..,-	,62.7	,-	,6.73,2015/2016,GB,0.5	,-	,-	,2970	
-	,4,-	,Bayer Leverku..,-	,59.8	,-	,6.88,2015/2016,UEL,0.3	,-	,-	,360	
-	,6,-	,Bayer Leverku..,-	,52	,-	,6.14,2015/2016,UCL,0.3	,-	,-	,540	
-	,34,-	,Bayer Leverku..,-	,55	,1	,6.66,2014/2015,GB,0.5	,-	,-	,3060	
-	,8,-	,Bayer Leverku..,-	,42.1	,-	,6.78,2014/2015,UCL,0.8	,-	,-	,751	
-	,8,1	,Bayer Leverku..,-	,57.9	,1	,6.81,2013/2014,UCL,0.3	,-	,-	,720	
-	,34,1	,Bayer Leverku..,-	,69.5	,1	,7.02,2013/2014,GB,0.8	,-	,-	,3060	
-	,2,-	,Germany U21,-	,55.9	,-	,4.89,2013,IEU,-	,-	,-	,180	
-	,32,-	,Bayer Leverku..,-	,65.8	,2	,6.88,2012/2013,GB,0.1	,-	,1	,2880	
-	,6,-	,Bayer Leverku..,-	,72.7	,-	,6.94,2012/2013,UEL,-	,-	,-	,540	
-	,33,2	,Bayer Leverku..,-	,62.6	,1	,6.90,2011/2012,GB,-	,-	,-	,2970	
-	,8,1	,Bayer Leverku..,-	,56.8	,-	,6.74,2011/2012,UCL,0.1	,-	,-	,720	
0,326,8,,0,63.5,9,6.73,Total / Average,,0.3,0,1,29324
-	,9,-	,Arsenal,-	,69.7	,2	,6.70,2019/2020,EPL,0.2	,-	,-	,810	
-	,31(1),-	,Arsenal,-	,69.2	,-	,6.68,2018/2019,EPL,0.2	,-	,-	,2833	
-	,3,-	,Arsenal,-	,76	,-	,6.84,2018/2019,UEL,0.3	,-	,-	,270	
-	,33,1	,Bayer Leverku..,-	,66.7	,1	,6.56,2017/2018,GB,0.4	,-	,-	,2970	
-	,34,1	,Bayer Leverku..,-	,65.2	,-	,6.58,2016/2017,GB,0.1	,-	,-	,3060	
-	,7,-	,Bayer Leverku..,-	,53.9	,-	,6.54,2016/2017,UCL,0.4	,-	,-	,630	
-	,33,1	,Bayer Leverku..,-	,62.7	,-	,6.73,2015/2016,GB,0.5	,-	,-	,2970	
-	,4,-	,Bayer Leverku..,-	,59.8	,-	,6.88,2015/2016,UEL,0.3	,-	,-	,360	
-	,6,-	,Bayer Leverku..,-	,52	,-	,6.14,2015/2016,UCL,0.3	,-	,-	,540	
-	,34,-	,Bayer Leverku..,-	,55	,1	,6.66,2014/2015,GB,0.5	,-	,-	,3060	
-	,8,-	,Bayer Leverku..,-	,42.1	,-	,6.78,2014/2015,UCL,0.8	,-	,-	,751	
-	,8,1	,Bayer Leverku..,-	,57.9	,1	,6.81,2013/2014,UCL,0.3	,-	,-	,720	
-	,34,1	,Bayer Leverku..,-	,69.5	,1	,7.02,2013/2014,GB,0.8	,-	,-	,3060	
-	,2,-	,Germany U21,-	,55.9	,-	,4.89,2013,IEU,-	,-	,-	,180	
-	,32,-	,Bayer Leverku..,-	,65.8	,2	,6.88,2012/2013,GB,0.1	,-	,1	,2880	
-	,6,-	,Bayer Leverku..,-	,72.7	,-	,6.94,2012/2013,UEL,-	,-	,-	,540	
-	,33,2	,Bayer Leverku..,-	,62.6	,1	,6.90,2011/2012,GB,-	,-	,-	,2970	
-	,8,1	,Bayer Leverku..,-	,56.8	,-	,6.74,2011/2012,UCL,0.1	,-	,-	,720	
0,326,8,,0,63.5,9,6.73,Total / Average,,0.3,0,1,29324
