ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.9	,5(4),1	,Arsenal,-	,89.2	,-	,6.58,2019/2020,EPL,0.2	,-	,2	,484	
1	,1(2),-	,Arsenal,-	,91.2	,-	,7.51,2019/2020,UEL,-	,1	,-	,153	
1	,13(10),-	,Real Madrid,-	,92.6	,3	,6.76,2018/2019,SLL,0.4	,3	,-	,1248	
1.3	,2(1),-	,Real Madrid,-	,94.4	,-	,6.72,2018/2019,UCL,0.3	,-	,-	,185	
3	,5,1	,Spain U21,-	,90.1	,-	,8.01,2019,IEU,0.2	,2	,2	,432	
1	,2(1),-	,Spain,-	,90.4	,2	,7.50,2018/2019,UNL,-	,1	,1	,213	
0.6	,4(8),1	,Real Madrid,-	,93.6	,-	,6.57,2017/2018,SLL,-	,2	,-	,397	
0.8	,0(4),-	,Real Madrid,-	,94.2	,-	,6.33,2017/2018,UCL,-	,-	,-	,82	
1.2	,24(6),3	,Real Betis,-	,80.8	,8	,7.32,2016/2017,SLL,0.4	,2	,2	,2336	
0.5	,22(12),1	,Real Betis,1	,80.9	,9	,6.70,2015/2016,SLL,0.5	,-	,2	,2136	
-	,0(1),-	,Real Betis,-	,87.5	,-	,6.36,2013/2014,SLL,-	,-	,-	,9	
0.9,127,7,,1,86.4,22,6.91,Total / Average,,0.3,11,9,7675
0.9	,5(4),1	,Arsenal,-	,89.2	,-	,6.58,2019/2020,EPL,0.2	,-	,2	,484	
1	,1(2),-	,Arsenal,-	,91.2	,-	,7.51,2019/2020,UEL,-	,1	,-	,153	
1	,13(10),-	,Real Madrid,-	,92.6	,3	,6.76,2018/2019,SLL,0.4	,3	,-	,1248	
1.3	,2(1),-	,Real Madrid,-	,94.4	,-	,6.72,2018/2019,UCL,0.3	,-	,-	,185	
3	,5,1	,Spain U21,-	,90.1	,-	,8.01,2019,IEU,0.2	,2	,2	,432	
1	,2(1),-	,Spain,-	,90.4	,2	,7.50,2018/2019,UNL,-	,1	,1	,213	
0.6	,4(8),1	,Real Madrid,-	,93.6	,-	,6.57,2017/2018,SLL,-	,2	,-	,397	
0.8	,0(4),-	,Real Madrid,-	,94.2	,-	,6.33,2017/2018,UCL,-	,-	,-	,82	
1.2	,24(6),3	,Real Betis,-	,80.8	,8	,7.32,2016/2017,SLL,0.4	,2	,2	,2336	
0.5	,22(12),1	,Real Betis,1	,80.9	,9	,6.70,2015/2016,SLL,0.5	,-	,2	,2136	
-	,0(1),-	,Real Betis,-	,87.5	,-	,6.36,2013/2014,SLL,-	,-	,-	,9	
0.9,127,7,,1,86.4,22,6.91,Total / Average,,0.3,11,9,7675
