ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.8	,8,-	,Arsenal,-	,87	,4	,6.64,2019/2020,EPL,1.8	,-	,-	,681	
-	,1,-	,Arsenal,-	,76.7	,-	,8.41,2019/2020,UEL,4	,-	,-	,90	
1	,29,4	,Arsenal,-	,85.3	,10	,7.03,2018/2019,EPL,1.8	,4	,2	,2502	
0.7	,9,1	,Arsenal,-	,86.2	,2	,7.13,2018/2019,UEL,1.4	,-	,3	,760	
0.8	,6,1	,Switzerland,-	,89.5	,4	,6.93,2018/2019,UNL,1.7	,-	,1	,570	
1.2	,5(1),-	,Arsenal,-	,91.2	,1	,7.47,2017/2018,UEL,1.5	,1	,-	,495	
1.7	,37(1),-	,Arsenal,-	,86.9	,10	,7.02,2017/2018,EPL,1.3	,1	,7	,3266	
0.3	,5(2),-	,Arsenal,-	,88.6	,3	,6.57,2016/2017,UCL,0.6	,1	,-	,479	
1.1	,28(4),-	,Arsenal,2	,89.5	,5	,6.96,2016/2017,EPL,1.1	,2	,2	,2486	
1	,4,-	,Switzerland,-	,90.1	,1	,6.84,2018,WC,1	,1	,-	,360	
1.2	,28,1	,Borussia M.Gl..,3	,85.1	,5	,7.35,2015/2016,GB,3.4	,3	,1	,2368	
2.2	,5,1	,Borussia M.Gl..,-	,84.4	,1	,7.35,2015/2016,UCL,2.4	,-	,1	,450	
2	,30,3	,Borussia M.Gl..,1	,86.1	,10	,7.61,2014/2015,GB,3.2	,2	,1	,2639	
2	,7,2	,Borussia M.Gl..,1	,88.6	,2	,7.79,2014/2015,UEL,1.4	,2	,1	,588	
1	,4,-	,Switzerland,-	,88.7	,1	,7.38,2016,UEC,3.3	,-	,-	,390	
1	,23(5),-	,Borussia M.Gl..,1	,86.5	,10	,7.02,2013/2014,GB,1.9	,-	,1	,2035	
2.8	,4,-	,Switzerland,-	,82	,1	,6.80,2014,WC,1.8	,1	,-	,323	
1	,15(7),-	,Borussia M.Gl..,-	,81.2	,4	,6.83,2012/2013,GB,1.6	,1	,-	,1484	
0.6	,2(5),-	,Borussia M.Gl..,-	,87	,-	,6.51,2012/2013,UEL,0.6	,-	,-	,283	
0.8	,8,-	,FC Basel 1893,-	,86.9	,2	,6.95,2011/2012,UCL,1.4	,-	,-	,682	
1	,0(2),-	,FC Basel 1893,-	,92.3	,-	,6.17,2010/2011,UCL,-	,-	,-	,48	
1.2,285,13,,8,86.5,76,7.09,Total / Average,,1.9,19,20,22979
0.8	,8,-	,Arsenal,-	,87	,4	,6.64,2019/2020,EPL,1.8	,-	,-	,681	
-	,1,-	,Arsenal,-	,76.7	,-	,8.41,2019/2020,UEL,4	,-	,-	,90	
1	,29,4	,Arsenal,-	,85.3	,10	,7.03,2018/2019,EPL,1.8	,4	,2	,2502	
0.7	,9,1	,Arsenal,-	,86.2	,2	,7.13,2018/2019,UEL,1.4	,-	,3	,760	
0.8	,6,1	,Switzerland,-	,89.5	,4	,6.93,2018/2019,UNL,1.7	,-	,1	,570	
1.2	,5(1),-	,Arsenal,-	,91.2	,1	,7.47,2017/2018,UEL,1.5	,1	,-	,495	
1.7	,37(1),-	,Arsenal,-	,86.9	,10	,7.02,2017/2018,EPL,1.3	,1	,7	,3266	
0.3	,5(2),-	,Arsenal,-	,88.6	,3	,6.57,2016/2017,UCL,0.6	,1	,-	,479	
1.1	,28(4),-	,Arsenal,2	,89.5	,5	,6.96,2016/2017,EPL,1.1	,2	,2	,2486	
1	,4,-	,Switzerland,-	,90.1	,1	,6.84,2018,WC,1	,1	,-	,360	
1.2	,28,1	,Borussia M.Gl..,3	,85.1	,5	,7.35,2015/2016,GB,3.4	,3	,1	,2368	
2.2	,5,1	,Borussia M.Gl..,-	,84.4	,1	,7.35,2015/2016,UCL,2.4	,-	,1	,450	
2	,30,3	,Borussia M.Gl..,1	,86.1	,10	,7.61,2014/2015,GB,3.2	,2	,1	,2639	
2	,7,2	,Borussia M.Gl..,1	,88.6	,2	,7.79,2014/2015,UEL,1.4	,2	,1	,588	
1	,4,-	,Switzerland,-	,88.7	,1	,7.38,2016,UEC,3.3	,-	,-	,390	
1	,23(5),-	,Borussia M.Gl..,1	,86.5	,10	,7.02,2013/2014,GB,1.9	,-	,1	,2035	
2.8	,4,-	,Switzerland,-	,82	,1	,6.80,2014,WC,1.8	,1	,-	,323	
1	,15(7),-	,Borussia M.Gl..,-	,81.2	,4	,6.83,2012/2013,GB,1.6	,1	,-	,1484	
0.6	,2(5),-	,Borussia M.Gl..,-	,87	,-	,6.51,2012/2013,UEL,0.6	,-	,-	,283	
0.8	,8,-	,FC Basel 1893,-	,86.9	,2	,6.95,2011/2012,UCL,1.4	,-	,-	,682	
1	,0(2),-	,FC Basel 1893,-	,92.3	,-	,6.17,2010/2011,UCL,-	,-	,-	,48	
1.2,285,13,,8,86.5,76,7.09,Total / Average,,1.9,19,20,22979
