ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.8	,3(1),-	,Roma,-	,82.9	,1	,6.75,2019/2020,ISA,-	,1	,1	,289	
0.7	,1(2),-	,Arsenal,-	,79.7	,1	,6.17,2019/2020,EPL,0.7	,-	,-	,111	
2	,19(6),1	,Arsenal,-	,79.9	,1	,6.88,2018/2019,EPL,0.8	,6	,4	,1645	
1	,6(5),1	,Arsenal,-	,82	,2	,6.81,2018/2019,UEL,0.5	,-	,3	,671	
4.3	,6,1	,Armenia,-	,75.8	,1	,7.77,2018/2019,UNL,0.8	,1	,4	,540	
2.8	,5(1),1	,Arsenal,-	,79.3	,1	,7.19,2017/2018,UEL,0.7	,1	,1	,416	
2	,3(1),-	,Manchester Un..,-	,83.3	,-	,7.33,2017/2018,UCL,0.8	,1	,-	,285	
1	,11(4),1	,Manchester Un..,-	,82.5	,2	,6.96,2017/2018,EPL,0.6	,1	,5	,931	
1.9	,9(2),2	,Arsenal,-	,77.7	,-	,7.35,2017/2018,EPL,0.9	,2	,4	,797	
1.4	,15(9),1	,Manchester Un..,-	,84.1	,1	,6.90,2016/2017,EPL,0.4	,4	,1	,1352	
2	,10(1),1	,Manchester Un..,-	,79.7	,3	,7.33,2016/2017,UEL,0.6	,6	,-	,817	
2.6	,28(3),11	,Borussia Dort..,-	,75.6	,5	,7.90,2015/2016,GB,0.8	,11	,15	,2578	
3.3	,10(1),2	,Borussia Dort..,-	,80.2	,1	,7.78,2015/2016,UEL,1.5	,2	,5	,901	
2.5	,21(7),3	,Borussia Dort..,-	,73.5	,4	,7.33,2014/2015,GB,1.1	,3	,4	,1921	
2.9	,7,-	,Borussia Dort..,-	,80.3	,1	,7.29,2014/2015,UCL,2	,-	,-	,603	
2	,10,1	,Borussia Dort..,-	,79.8	,-	,6.97,2013/2014,UCL,0.6	,2	,-	,794	
2.3	,29(2),3	,Borussia Dort..,-	,76.7	,6	,7.59,2013/2014,GB,1.1	,9	,10	,2454	
3.3	,8,1	,Shakhtar Done..,-	,86	,1	,7.16,2012/2013,UCL,1.1	,2	,-	,720	
1.5	,5(1),1	,Shakhtar Done..,-	,85	,1	,7.15,2011/2012,UCL,0.5	,-	,-	,473	
1.4	,6(1),-	,Shakhtar Done..,-	,79.8	,3	,6.65,2010/2011,UCL,0.4	,-	,-	,523	
2.1,259,31,,0,79.2,35,7.26,Total / Average,,0.8,52,57,18821
0.8	,3(1),-	,Roma,-	,82.9	,1	,6.75,2019/2020,ISA,-	,1	,1	,289	
0.7	,1(2),-	,Arsenal,-	,79.7	,1	,6.17,2019/2020,EPL,0.7	,-	,-	,111	
2	,19(6),1	,Arsenal,-	,79.9	,1	,6.88,2018/2019,EPL,0.8	,6	,4	,1645	
1	,6(5),1	,Arsenal,-	,82	,2	,6.81,2018/2019,UEL,0.5	,-	,3	,671	
4.3	,6,1	,Armenia,-	,75.8	,1	,7.77,2018/2019,UNL,0.8	,1	,4	,540	
2.8	,5(1),1	,Arsenal,-	,79.3	,1	,7.19,2017/2018,UEL,0.7	,1	,1	,416	
2	,3(1),-	,Manchester Un..,-	,83.3	,-	,7.33,2017/2018,UCL,0.8	,1	,-	,285	
1	,11(4),1	,Manchester Un..,-	,82.5	,2	,6.96,2017/2018,EPL,0.6	,1	,5	,931	
1.9	,9(2),2	,Arsenal,-	,77.7	,-	,7.35,2017/2018,EPL,0.9	,2	,4	,797	
1.4	,15(9),1	,Manchester Un..,-	,84.1	,1	,6.90,2016/2017,EPL,0.4	,4	,1	,1352	
2	,10(1),1	,Manchester Un..,-	,79.7	,3	,7.33,2016/2017,UEL,0.6	,6	,-	,817	
2.6	,28(3),11	,Borussia Dort..,-	,75.6	,5	,7.90,2015/2016,GB,0.8	,11	,15	,2578	
3.3	,10(1),2	,Borussia Dort..,-	,80.2	,1	,7.78,2015/2016,UEL,1.5	,2	,5	,901	
2.5	,21(7),3	,Borussia Dort..,-	,73.5	,4	,7.33,2014/2015,GB,1.1	,3	,4	,1921	
2.9	,7,-	,Borussia Dort..,-	,80.3	,1	,7.29,2014/2015,UCL,2	,-	,-	,603	
2	,10,1	,Borussia Dort..,-	,79.8	,-	,6.97,2013/2014,UCL,0.6	,2	,-	,794	
2.3	,29(2),3	,Borussia Dort..,-	,76.7	,6	,7.59,2013/2014,GB,1.1	,9	,10	,2454	
3.3	,8,1	,Shakhtar Done..,-	,86	,1	,7.16,2012/2013,UCL,1.1	,2	,-	,720	
1.5	,5(1),1	,Shakhtar Done..,-	,85	,1	,7.15,2011/2012,UCL,0.5	,-	,-	,473	
1.4	,6(1),-	,Shakhtar Done..,-	,79.8	,3	,6.65,2010/2011,UCL,0.4	,-	,-	,523	
2.1,259,31,,0,79.2,35,7.26,Total / Average,,0.8,52,57,18821
