ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,1,-	,Arsenal,-	,86.4	,-	,6.71,2019/2020,EPL,-	,-	,-	,71	
0.5	,20(4),2	,Arsenal,-	,88.6	,2	,6.78,2018/2019,EPL,0.2	,5	,2	,1742	
0.5	,8(2),-	,Arsenal,-	,89.3	,1	,6.74,2018/2019,UEL,0.2	,1	,1	,652	
1	,7,1	,Arsenal,-	,86.4	,-	,7.70,2017/2018,UEL,-	,1	,4	,609	
1.5	,24(2),2	,Arsenal,-	,86.5	,4	,7.25,2017/2018,EPL,-	,4	,8	,2164	
1.5	,7(1),2	,Arsenal,-	,84.6	,-	,7.37,2016/2017,UCL,0.3	,4	,3	,627	
1.2	,32(1),4	,Arsenal,-	,86.6	,2	,7.30,2016/2017,EPL,0.2	,8	,9	,2848	
1	,2,-	,Germany,-	,88.8	,-	,6.93,2018,WC,-	,-	,-	,180	
1.3	,8,-	,Arsenal,-	,82.8	,2	,7.03,2015/2016,UCL,0.1	,2	,-	,720	
1.4	,35,6	,Arsenal,-	,86.3	,4	,7.66,2015/2016,EPL,0.1	,6	,19	,3049	
0.8	,4,-	,Arsenal,-	,86.7	,2	,6.80,2014/2015,UCL,0.3	,-	,1	,319	
1.3	,21(1),-	,Arsenal,-	,88.3	,-	,7.57,2014/2015,EPL,0.2	,4	,5	,1860	
2.3	,6,1	,Germany,-	,89.2	,2	,7.45,2016,UEC,-	,1	,1	,570	
0.5	,2,-	,Real Madrid,-	,83.3	,-	,7.18,2013/2014,SLL,-	,-	,-	,134	
0.9	,8,1	,Arsenal,-	,84.3	,1	,6.83,2013/2014,UCL,0.3	,1	,2	,668	
1.2	,25(1),4	,Arsenal,-	,88	,-	,7.27,2013/2014,EPL,0.2	,5	,9	,2150	
1.3	,7,-	,Germany,-	,86.9	,-	,7.17,2014,WC,0.1	,1	,1	,655	
0.9	,23(9),1	,Real Madrid,-	,84.2	,5	,7.39,2012/2013,SLL,0.2	,9	,13	,2042	
0.9	,8(2),2	,Real Madrid,-	,86.5	,1	,6.97,2012/2013,UCL,0.1	,1	,4	,723	
1.6	,5,2	,Germany,-	,88.7	,-	,7.82,2012,UEC,-	,1	,3	,438	
0.9	,30(5),4	,Real Madrid,1	,87.1	,5	,7.37,2011/2012,SLL,0.1	,4	,17	,2591	
1.4	,10,-	,Real Madrid,-	,85.9	,-	,7.48,2011/2012,UCL,0.2	,2	,3	,810	
1.1	,30(6),1	,Real Madrid,-	,85.4	,2	,7.44,2010/2011,SLL,0.1	,6	,17	,2571	
1.4	,9(2),-	,Real Madrid,-	,86.2	,-	,7.41,2010/2011,UCL,0.1	,1	,6	,805	
2.2	,29(2),6	,Werder Bremen,-	,82.5	,2	,7.62,2009/2010,GB,0.1	,9	,13	,2601	
1.2,399,39,,1,86.2,35,7.34,Total / Average,,0.1,76,141,31599
-	,1,-	,Arsenal,-	,86.4	,-	,6.71,2019/2020,EPL,-	,-	,-	,71	
0.5	,20(4),2	,Arsenal,-	,88.6	,2	,6.78,2018/2019,EPL,0.2	,5	,2	,1742	
0.5	,8(2),-	,Arsenal,-	,89.3	,1	,6.74,2018/2019,UEL,0.2	,1	,1	,652	
1	,7,1	,Arsenal,-	,86.4	,-	,7.70,2017/2018,UEL,-	,1	,4	,609	
1.5	,24(2),2	,Arsenal,-	,86.5	,4	,7.25,2017/2018,EPL,-	,4	,8	,2164	
1.5	,7(1),2	,Arsenal,-	,84.6	,-	,7.37,2016/2017,UCL,0.3	,4	,3	,627	
1.2	,32(1),4	,Arsenal,-	,86.6	,2	,7.30,2016/2017,EPL,0.2	,8	,9	,2848	
1	,2,-	,Germany,-	,88.8	,-	,6.93,2018,WC,-	,-	,-	,180	
1.3	,8,-	,Arsenal,-	,82.8	,2	,7.03,2015/2016,UCL,0.1	,2	,-	,720	
1.4	,35,6	,Arsenal,-	,86.3	,4	,7.66,2015/2016,EPL,0.1	,6	,19	,3049	
0.8	,4,-	,Arsenal,-	,86.7	,2	,6.80,2014/2015,UCL,0.3	,-	,1	,319	
1.3	,21(1),-	,Arsenal,-	,88.3	,-	,7.57,2014/2015,EPL,0.2	,4	,5	,1860	
2.3	,6,1	,Germany,-	,89.2	,2	,7.45,2016,UEC,-	,1	,1	,570	
0.5	,2,-	,Real Madrid,-	,83.3	,-	,7.18,2013/2014,SLL,-	,-	,-	,134	
0.9	,8,1	,Arsenal,-	,84.3	,1	,6.83,2013/2014,UCL,0.3	,1	,2	,668	
1.2	,25(1),4	,Arsenal,-	,88	,-	,7.27,2013/2014,EPL,0.2	,5	,9	,2150	
1.3	,7,-	,Germany,-	,86.9	,-	,7.17,2014,WC,0.1	,1	,1	,655	
0.9	,23(9),1	,Real Madrid,-	,84.2	,5	,7.39,2012/2013,SLL,0.2	,9	,13	,2042	
0.9	,8(2),2	,Real Madrid,-	,86.5	,1	,6.97,2012/2013,UCL,0.1	,1	,4	,723	
1.6	,5,2	,Germany,-	,88.7	,-	,7.82,2012,UEC,-	,1	,3	,438	
0.9	,30(5),4	,Real Madrid,1	,87.1	,5	,7.37,2011/2012,SLL,0.1	,4	,17	,2591	
1.4	,10,-	,Real Madrid,-	,85.9	,-	,7.48,2011/2012,UCL,0.2	,2	,3	,810	
1.1	,30(6),1	,Real Madrid,-	,85.4	,2	,7.44,2010/2011,SLL,0.1	,6	,17	,2571	
1.4	,9(2),-	,Real Madrid,-	,86.2	,-	,7.41,2010/2011,UCL,0.1	,1	,6	,805	
2.2	,29(2),6	,Werder Bremen,-	,82.5	,2	,7.62,2009/2010,GB,0.1	,9	,13	,2601	
1.2,399,39,,1,86.2,35,7.34,Total / Average,,0.1,76,141,31599
