ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2.7	,7(2),1	,Arsenal,-	,79.9	,1	,7.22,2019/2020,EPL,0.7	,1	,2	,639	
1.3	,0(3),1	,Arsenal,-	,84.2	,-	,7.22,2019/2020,UEL,-	,2	,1	,71	
1.7	,3,-	,Ivory Coast,-	,76.5	,-	,6.47,2019,ACoN,-	,-	,-	,248	
3.1	,37(1),13	,Lille,-	,79.1	,1	,7.62,2018/2019,FL1,1.2	,22	,11	,3332	
1.8	,31(5),2	,Lille,-	,81.8	,5	,6.91,2017/2018,FL1,0.8	,13	,4	,2846	
1.4	,11(22),-	,Angers,-	,76.9	,2	,6.53,2016/2017,FL1,0.7	,3	,1	,1309	
2.1,122,17,,0,79.4,9,7.05,Total / Average,,0.8,41,19,8445
2.7	,7(2),1	,Arsenal,-	,79.9	,1	,7.22,2019/2020,EPL,0.7	,1	,2	,639	
1.3	,0(3),1	,Arsenal,-	,84.2	,-	,7.22,2019/2020,UEL,-	,2	,1	,71	
1.7	,3,-	,Ivory Coast,-	,76.5	,-	,6.47,2019,ACoN,-	,-	,-	,248	
3.1	,37(1),13	,Lille,-	,79.1	,1	,7.62,2018/2019,FL1,1.2	,22	,11	,3332	
1.8	,31(5),2	,Lille,-	,81.8	,5	,6.91,2017/2018,FL1,0.8	,13	,4	,2846	
1.4	,11(22),-	,Angers,-	,76.9	,2	,6.53,2016/2017,FL1,0.7	,3	,1	,1309	
2.1,122,17,,0,79.4,9,7.05,Total / Average,,0.8,41,19,8445
