ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,6(1),-	,Arsenal,-	,86.6	,2	,6.66,2019/2020,EPL,0.9	,-	,1	,559	
-	,1,-	,Arsenal,-	,80	,1	,7.03,2019/2020,UEL,1	,-	,-	,80	
0.4	,22(2),-	,Arsenal,-	,77.7	,5	,6.61,2018/2019,EPL,0.8	,-	,5	,1891	
0.7	,8(2),-	,Arsenal,-	,75.3	,1	,6.94,2018/2019,UEL,0.9	,-	,2	,727	
0.4	,2(3),-	,Arsenal,-	,85.4	,1	,6.80,2017/2018,UEL,0.2	,2	,-	,225	
0.8	,25(2),1	,Arsenal,-	,80.1	,3	,6.92,2017/2018,EPL,1.7	,2	,4	,2152	
0.7	,24(1),2	,Schalke 04,-	,71.7	,5	,7.32,2016/2017,GB,1.8	,3	,5	,2070	
0.3	,6(2),-	,Schalke 04,-	,84.8	,2	,7.11,2016/2017,UEL,0.6	,-	,2	,582	
0.5	,18(5),-	,Schalke 04,-	,73.2	,5	,6.76,2015/2016,GB,2.2	,1	,-	,1571	
0.5	,5(1),-	,Schalke 04,-	,80.5	,-	,7.19,2015/2016,UEL,2.8	,-	,1	,403	
0.7	,6,-	,Schalke 04,-	,79.3	,2	,7.04,2014/2015,GB,2.8	,-	,-	,454	
0.2	,3(3),-	,Schalke 04,-	,84.7	,1	,6.52,2013/2014,UCL,0.3	,-	,-	,301	
0.5	,21(3),1	,Schalke 04,-	,77.6	,5	,7.05,2013/2014,GB,1.7	,-	,2	,1860	
-	,2,-	,Bosnia and He..,-	,84.7	,-	,6.79,2014,WC,-	,-	,-	,180	
0.3	,12(4),1	,Schalke 04,-	,74.1	,2	,6.79,2012/2013,GB,1	,-	,1	,1108	
0.7	,3,-	,Schalke 04,-	,74.8	,2	,6.50,2012/2013,UCL,1.7	,-	,-	,270	
0.5,193,5,,0,77.5,37,6.91,Total / Average,,1.5,8,23,14433
0.3	,6(1),-	,Arsenal,-	,86.6	,2	,6.66,2019/2020,EPL,0.9	,-	,1	,559	
-	,1,-	,Arsenal,-	,80	,1	,7.03,2019/2020,UEL,1	,-	,-	,80	
0.4	,22(2),-	,Arsenal,-	,77.7	,5	,6.61,2018/2019,EPL,0.8	,-	,5	,1891	
0.7	,8(2),-	,Arsenal,-	,75.3	,1	,6.94,2018/2019,UEL,0.9	,-	,2	,727	
0.4	,2(3),-	,Arsenal,-	,85.4	,1	,6.80,2017/2018,UEL,0.2	,2	,-	,225	
0.8	,25(2),1	,Arsenal,-	,80.1	,3	,6.92,2017/2018,EPL,1.7	,2	,4	,2152	
0.7	,24(1),2	,Schalke 04,-	,71.7	,5	,7.32,2016/2017,GB,1.8	,3	,5	,2070	
0.3	,6(2),-	,Schalke 04,-	,84.8	,2	,7.11,2016/2017,UEL,0.6	,-	,2	,582	
0.5	,18(5),-	,Schalke 04,-	,73.2	,5	,6.76,2015/2016,GB,2.2	,1	,-	,1571	
0.5	,5(1),-	,Schalke 04,-	,80.5	,-	,7.19,2015/2016,UEL,2.8	,-	,1	,403	
0.7	,6,-	,Schalke 04,-	,79.3	,2	,7.04,2014/2015,GB,2.8	,-	,-	,454	
0.2	,3(3),-	,Schalke 04,-	,84.7	,1	,6.52,2013/2014,UCL,0.3	,-	,-	,301	
0.5	,21(3),1	,Schalke 04,-	,77.6	,5	,7.05,2013/2014,GB,1.7	,-	,2	,1860	
-	,2,-	,Bosnia and He..,-	,84.7	,-	,6.79,2014,WC,-	,-	,-	,180	
0.3	,12(4),1	,Schalke 04,-	,74.1	,2	,6.79,2012/2013,GB,1	,-	,1	,1108	
0.7	,3,-	,Schalke 04,-	,74.8	,2	,6.50,2012/2013,UCL,1.7	,-	,-	,270	
0.5,193,5,,0,77.5,37,6.91,Total / Average,,1.5,8,23,14433
