ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.4	,5,1	,West Ham,1	,82.1	,1	,7.16,2019/2020,EPL,1.2	,-	,1	,427	
-	,1,-	,DR Congo,-	,74.4	,-	,7.55,2019,ACoN,5	,-	,-	,90	
0.2	,19(4),1	,West Ham,-	,83.3	,2	,6.90,2018/2019,EPL,0.9	,-	,1	,1758	
0.3	,21(6),2	,West Ham,-	,80.5	,5	,7.02,2017/2018,EPL,0.9	,-	,3	,1873	
0.3	,11(2),1	,West Ham,-	,87.6	,1	,7.13,2016/2017,EPL,1.2	,-	,1	,972	
-	,2,-	,Olympiacos,-	,77.3	,2	,6.33,2015/2016,UEL,3	,-	,-	,210	
0.8	,5,1	,Olympiacos,-	,80.7	,-	,7.29,2015/2016,UCL,2.4	,-	,-	,450	
0.7	,6,2	,Olympiacos,-	,80.8	,1	,7.65,2014/2015,UCL,1.8	,1	,-	,540	
0.5	,2,-	,Olympiacos,-	,82.2	,-	,7.60,2014/2015,UEL,1.5	,-	,-	,180	
0.6	,27,-	,Valenciennes,-	,73.2	,4	,6.75,2013/2014,FL1,1.5	,1	,4	,2363	
0.4,111,8,,1,80.2,16,7.00,Total / Average,,1.3,2,10,8863
0.4	,5,1	,West Ham,1	,82.1	,1	,7.16,2019/2020,EPL,1.2	,-	,1	,427	
-	,1,-	,DR Congo,-	,74.4	,-	,7.55,2019,ACoN,5	,-	,-	,90	
0.2	,19(4),1	,West Ham,-	,83.3	,2	,6.90,2018/2019,EPL,0.9	,-	,1	,1758	
0.3	,21(6),2	,West Ham,-	,80.5	,5	,7.02,2017/2018,EPL,0.9	,-	,3	,1873	
0.3	,11(2),1	,West Ham,-	,87.6	,1	,7.13,2016/2017,EPL,1.2	,-	,1	,972	
-	,2,-	,Olympiacos,-	,77.3	,2	,6.33,2015/2016,UEL,3	,-	,-	,210	
0.8	,5,1	,Olympiacos,-	,80.7	,-	,7.29,2015/2016,UCL,2.4	,-	,-	,450	
0.7	,6,2	,Olympiacos,-	,80.8	,1	,7.65,2014/2015,UCL,1.8	,1	,-	,540	
0.5	,2,-	,Olympiacos,-	,82.2	,-	,7.60,2014/2015,UEL,1.5	,-	,-	,180	
0.6	,27,-	,Valenciennes,-	,73.2	,4	,6.75,2013/2014,FL1,1.5	,1	,4	,2363	
0.4,111,8,,1,80.2,16,7.00,Total / Average,,1.3,2,10,8863
