ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2.9	,8,1	,Burnley,-	,61.1	,2	,7.04,2019/2020,EPL,3.3	,4	,-	,650	
1.8	,26(11),2	,Burnley,-	,59.1	,8	,6.75,2018/2019,EPL,3.6	,12	,2	,2388	
1.7	,21(15),1	,Burnley,-	,60.8	,10	,6.57,2017/2018,EPL,2.5	,9	,-	,2159	
1.6	,20(8),-	,Burnley,1	,55	,6	,6.62,2016/2017,EPL,3.6	,6	,2	,1779	
0.5	,1(7),-	,Burnley,-	,50	,1	,6.24,2015/2016,EC,1.9	,-	,-	,193	
1.9	,28(7),1	,Burnley,1	,63.1	,4	,6.71,2014/2015,EPL,4.1	,5	,2	,2428	
2.5	,17(5),-	,Brighton,-	,65.1	,3	,6.62,2013/2014,EC,1.9	,5	,1	,1525	
1.5	,11(10),-	,Burnley,-	,59.6	,1	,6.48,2013/2014,EC,1.9	,3	,1	,1104	
1.8,195,5,,2,60,35,6.64,Total / Average,,3,44,8,12226
2.9	,8,1	,Burnley,-	,61.1	,2	,7.04,2019/2020,EPL,3.3	,4	,-	,650	
1.8	,26(11),2	,Burnley,-	,59.1	,8	,6.75,2018/2019,EPL,3.6	,12	,2	,2388	
1.7	,21(15),1	,Burnley,-	,60.8	,10	,6.57,2017/2018,EPL,2.5	,9	,-	,2159	
1.6	,20(8),-	,Burnley,1	,55	,6	,6.62,2016/2017,EPL,3.6	,6	,2	,1779	
0.5	,1(7),-	,Burnley,-	,50	,1	,6.24,2015/2016,EC,1.9	,-	,-	,193	
1.9	,28(7),1	,Burnley,1	,63.1	,4	,6.71,2014/2015,EPL,4.1	,5	,2	,2428	
2.5	,17(5),-	,Brighton,-	,65.1	,3	,6.62,2013/2014,EC,1.9	,5	,1	,1525	
1.5	,11(10),-	,Burnley,-	,59.6	,1	,6.48,2013/2014,EC,1.9	,3	,1	,1104	
1.8,195,5,,2,60,35,6.64,Total / Average,,3,44,8,12226
