ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,2(3),1	,Aston Villa,-	,88.6	,-	,6.42,2019/2020,EPL,1	,-	,-	,230	
0.8	,4,1	,Egypt,-	,71.9	,1	,7.22,2019,ACoN,2.3	,2	,-	,360	
0.3	,35(6),-	,Aston Villa,-	,81.4	,1	,6.82,2018/2019,EC,1.9	,2	,8	,3239	
0.2	,38(7),1	,Aston Villa,-	,73.3	,2	,6.81,2017/2018,EC,1.8	,-	,5	,3342	
0.3	,28(5),-	,Hull,1	,77	,3	,6.58,2016/2017,EPL,1.8	,-	,2	,2520	
0.6	,34(10),2	,Hull,-	,74.7	,1	,7.02,2015/2016,EC,3.4	,3	,6	,3144	
0.4	,38,3	,Hull,-	,73.8	,4	,7.17,2014/2015,EPL,3.3	,2	,5	,3420	
0.5	,38,1	,Hull,-	,78.4	,3	,7.00,2013/2014,EPL,1.9	,2	,2	,3330	
-	,0(2),-	,Sunderland,-	,70	,-	,6.19,2012/2013,EPL,1	,-	,-	,22	
0.5	,7(11),-	,Sunderland,-	,70.4	,-	,6.50,2011/2012,EPL,1.2	,1	,1	,773	
0.8	,26(10),2	,Sunderland,-	,69.4	,1	,6.85,2010/2011,EPL,3.7	,-	,2	,2455	
0.4,304,11,,1,75.3,16,6.87,Total / Average,,2.4,12,31,22835
