ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,9,-	,Aston Villa,-	,86.8	,1	,6.78,2019/2020,EPL,3.3	,-	,-	,795	
0.3	,33,-	,Reims,-	,83.8	,4	,6.83,2018/2019,FL1,3.1	,1	,1	,2970	
0.4	,5,-	,Olympiacos,-	,92.1	,1	,6.51,2017/2018,UCL,1.6	,-	,-	,450	
-	,1,-	,Club Brugge,-	,83.3	,1	,6.09,2016/2017,UCL,3	,-	,-	,53	
-	,0(1),-	,Club Brugge,-	,50	,-	,6.22,2015/2016,UEL,2	,-	,-	,8	
-	,0(1),-	,Club Brugge,-	,89.5	,-	,6.07,2012/2013,UEL,-	,-	,-	,45	
0.3,50,0,,0,84.6,7,6.75,Total / Average,,2.9,1,1,4321
0.3	,9,-	,Aston Villa,-	,86.8	,1	,6.78,2019/2020,EPL,3.3	,-	,-	,795	
0.3	,33,-	,Reims,-	,83.8	,4	,6.83,2018/2019,FL1,3.1	,1	,1	,2970	
0.4	,5,-	,Olympiacos,-	,92.1	,1	,6.51,2017/2018,UCL,1.6	,-	,-	,450	
-	,1,-	,Club Brugge,-	,83.3	,1	,6.09,2016/2017,UCL,3	,-	,-	,53	
-	,0(1),-	,Club Brugge,-	,50	,-	,6.22,2015/2016,UEL,2	,-	,-	,8	
-	,0(1),-	,Club Brugge,-	,89.5	,-	,6.07,2012/2013,UEL,-	,-	,-	,45	
0.3,50,0,,0,84.6,7,6.75,Total / Average,,2.9,1,1,4321
