ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.9	,3(4),-	,Aston Villa,-	,87.3	,1	,6.57,2019/2020,EPL,0.6	,2	,-	,294	
0.7	,16(7),-	,Girona,-	,84.5	,7	,6.58,2018/2019,SLL,1.1	,-	,-	,1487	
0.7	,1(14),-	,Girona,-	,78	,4	,6.17,2017/2018,SLL,0.2	,-	,-	,295	
2.8	,11,-	,Vasco da Gama,-	,82.1	,3	,6.98,2017,BSA,1.1	,1	,-	,990	
1.1,56,0,,0,82.6,15,6.55,Total / Average,,0.8,3,0,3066
0.9	,3(4),-	,Aston Villa,-	,87.3	,1	,6.57,2019/2020,EPL,0.6	,2	,-	,294	
0.7	,16(7),-	,Girona,-	,84.5	,7	,6.58,2018/2019,SLL,1.1	,-	,-	,1487	
0.7	,1(14),-	,Girona,-	,78	,4	,6.17,2017/2018,SLL,0.2	,-	,-	,295	
2.8	,11,-	,Vasco da Gama,-	,82.1	,3	,6.98,2017,BSA,1.1	,1	,-	,990	
1.1,56,0,,0,82.6,15,6.55,Total / Average,,0.8,3,0,3066
