ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.6	,7,1	,Aston Villa,-	,74.4	,3	,7.11,2019/2020,EPL,2.4	,-	,2	,625	
0.3	,33(1),2	,Caen,1	,74.2	,9	,6.97,2018/2019,FL1,2.4	,1	,2	,2917	
0.4	,36,2	,Caen,-	,74.9	,12	,7.13,2017/2018,FL1,2.8	,1	,2	,3240	
-	,2(1),-	,Bordeaux,-	,71.6	,-	,6.47,2016/2017,FL1,1.7	,-	,-	,222	
0.7	,23,1	,Caen,-	,72.3	,4	,7.21,2016/2017,FL1,2.5	,-	,1	,2043	
0.3	,2(1),-	,Bordeaux,1	,80.3	,-	,6.45,2015/2016,UEL,0.7	,-	,-	,180	
0.3	,29(1),-	,Bordeaux,-	,78.7	,4	,6.93,2015/2016,FL1,1.5	,-	,-	,2507	
0.3	,1(2),-	,Bordeaux,-	,64.8	,1	,6.68,2014/2015,FL1,-	,-	,-	,170	
0.4,139,6,,2,74.9,33,7.02,Total / Average,,2.2,2,7,11904
0.6	,7,1	,Aston Villa,-	,74.4	,3	,7.11,2019/2020,EPL,2.4	,-	,2	,625	
0.3	,33(1),2	,Caen,1	,74.2	,9	,6.97,2018/2019,FL1,2.4	,1	,2	,2917	
0.4	,36,2	,Caen,-	,74.9	,12	,7.13,2017/2018,FL1,2.8	,1	,2	,3240	
-	,2(1),-	,Bordeaux,-	,71.6	,-	,6.47,2016/2017,FL1,1.7	,-	,-	,222	
0.7	,23,1	,Caen,-	,72.3	,4	,7.21,2016/2017,FL1,2.5	,-	,1	,2043	
0.3	,2(1),-	,Bordeaux,1	,80.3	,-	,6.45,2015/2016,UEL,0.7	,-	,-	,180	
0.3	,29(1),-	,Bordeaux,-	,78.7	,4	,6.93,2015/2016,FL1,1.5	,-	,-	,2507	
0.3	,1(2),-	,Bordeaux,-	,64.8	,1	,6.68,2014/2015,FL1,-	,-	,-	,170	
0.4,139,6,,2,74.9,33,7.02,Total / Average,,2.2,2,7,11904
