ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.7	,3,-	,Aston Villa,-	,81.2	,-	,7.61,2019/2020,EPL,0.7	,1	,1	,242	
0.7	,13(3),-	,Southampton,-	,69.9	,2	,6.89,2018/2019,EPL,1.1	,1	,3	,1187	
0.7	,20(1),4	,Fulham,-	,79.5	,3	,7.20,2017/2018,EC,1.2	,1	,2	,1721	
-	,2,-	,Southampton,-	,72.5	,-	,6.97,2017/2018,EPL,0.5	,-	,-	,167	
0.4	,5,-	,Southampton,-	,78.5	,-	,6.81,2016/2017,EPL,1.6	,-	,-	,374	
-	,2,-	,Southampton,-	,76	,-	,7.24,2016/2017,UEL,3	,-	,-	,180	
0.2	,13(1),1	,Southampton,-	,76.7	,1	,6.92,2015/2016,EPL,1.1	,-	,1	,1071	
0.2	,3(3),-	,Southampton,-	,77.7	,-	,6.34,2014/2015,EPL,0.7	,-	,-	,225	
0.5,69,5,,0,76.3,6,6.98,Total / Average,,1.2,3,7,5167
0.7	,3,-	,Aston Villa,-	,81.2	,-	,7.61,2019/2020,EPL,0.7	,1	,1	,242	
0.7	,13(3),-	,Southampton,-	,69.9	,2	,6.89,2018/2019,EPL,1.1	,1	,3	,1187	
0.7	,20(1),4	,Fulham,-	,79.5	,3	,7.20,2017/2018,EC,1.2	,1	,2	,1721	
-	,2,-	,Southampton,-	,72.5	,-	,6.97,2017/2018,EPL,0.5	,-	,-	,167	
0.4	,5,-	,Southampton,-	,78.5	,-	,6.81,2016/2017,EPL,1.6	,-	,-	,374	
-	,2,-	,Southampton,-	,76	,-	,7.24,2016/2017,UEL,3	,-	,-	,180	
0.2	,13(1),1	,Southampton,-	,76.7	,1	,6.92,2015/2016,EPL,1.1	,-	,1	,1071	
0.2	,3(3),-	,Southampton,-	,77.7	,-	,6.34,2014/2015,EPL,0.7	,-	,-	,225	
0.5,69,5,,0,76.3,6,6.98,Total / Average,,1.2,3,7,5167
