ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,9,-	,Aston Villa,-	,52.7	,-	,6.39,2019/2020,EPL,0.1	,-	,-	,810	
0.1	,19,-	,Burnley,-	,46.2	,3	,6.61,2018/2019,EPL,0.2	,-	,-	,1710	
-	,4,-	,Burnley,-	,51.1	,-	,6.46,2017/2018,EPL,0.3	,-	,-	,306	
-	,35,2	,Burnley,-	,41	,1	,6.88,2016/2017,EPL,0.2	,-	,-	,3150	
-	,46,3	,Burnley,-	,44.7	,-	,6.90,2015/2016,EC,0.3	,-	,-	,4140	
-	,38,4	,Burnley,-	,45.9	,1	,6.82,2014/2015,EPL,0.3	,-	,-	,3420	
-	,46,-	,Burnley,1	,51.2	,-	,6.89,2013/2014,EC,0.2	,-	,-	,4107	
0,197,9,,1,46.4,5,6.82,Total / Average,,0.2,0,0,17643
-	,9,-	,Aston Villa,-	,52.7	,-	,6.39,2019/2020,EPL,0.1	,-	,-	,810	
0.1	,19,-	,Burnley,-	,46.2	,3	,6.61,2018/2019,EPL,0.2	,-	,-	,1710	
-	,4,-	,Burnley,-	,51.1	,-	,6.46,2017/2018,EPL,0.3	,-	,-	,306	
-	,35,2	,Burnley,-	,41	,1	,6.88,2016/2017,EPL,0.2	,-	,-	,3150	
-	,46,3	,Burnley,-	,44.7	,-	,6.90,2015/2016,EC,0.3	,-	,-	,4140	
-	,38,4	,Burnley,-	,45.9	,1	,6.82,2014/2015,EPL,0.3	,-	,-	,3420	
-	,46,-	,Burnley,1	,51.2	,-	,6.89,2013/2014,EC,0.2	,-	,-	,4107	
0,197,9,,1,46.4,5,6.82,Total / Average,,0.2,0,0,17643
