ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.6	,9,1	,Burnley,-	,60.6	,-	,6.93,2019/2020,EPL,4.6	,-	,-	,810	
0.6	,38,1	,Burnley,-	,74.9	,9	,6.86,2018/2019,EPL,3.9	,-	,2	,3420	
0.9	,29,2	,Burnley,-	,76.4	,5	,7.12,2017/2018,EPL,4	,-	,-	,2610	
0.5	,34,2	,Burnley,-	,73.3	,5	,7.14,2016/2017,EPL,3.7	,1	,-	,3016	
0.5	,46,2	,Burnley,-	,65.3	,9	,7.28,2015/2016,EC,4	,2	,1	,4128	
0.6	,32(1),-	,Burnley,-	,66.5	,10	,7.09,2014/2015,EPL,2.6	,2	,1	,2888	
0.4	,38,2	,Burnley,-	,64.3	,6	,7.22,2013/2014,EC,2.7	,-	,2	,3358	
0.5,227,10,,0,69.3,44,7.12,Total / Average,,3.6,5,6,20230
0.6	,9,1	,Burnley,-	,60.6	,-	,6.93,2019/2020,EPL,4.6	,-	,-	,810	
0.6	,38,1	,Burnley,-	,74.9	,9	,6.86,2018/2019,EPL,3.9	,-	,2	,3420	
0.9	,29,2	,Burnley,-	,76.4	,5	,7.12,2017/2018,EPL,4	,-	,-	,2610	
0.5	,34,2	,Burnley,-	,73.3	,5	,7.14,2016/2017,EPL,3.7	,1	,-	,3016	
0.5	,46,2	,Burnley,-	,65.3	,9	,7.28,2015/2016,EC,4	,2	,1	,4128	
0.6	,32(1),-	,Burnley,-	,66.5	,10	,7.09,2014/2015,EPL,2.6	,2	,1	,2888	
0.4	,38,2	,Burnley,-	,64.3	,6	,7.22,2013/2014,EC,2.7	,-	,2	,3358	
0.5,227,10,,0,69.3,44,7.12,Total / Average,,3.6,5,6,20230
