ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(2),-	,Sheffield Uni..,-	,50	,-	,6.24,2019/2020,EPL,0.5	,-	,-	,13	
0.6	,29(10),-	,Nottingham Fo..,-	,72.9	,3	,6.67,2018/2019,EC,0.9	,1	,5	,2684	
0.9	,42(4),2	,Nottingham Fo..,-	,81	,3	,6.98,2017/2018,EC,0.8	,4	,5	,3810	
1.3	,45(1),1	,Nottingham Fo..,-	,78.1	,7	,6.86,2016/2017,EC,0.5	,4	,7	,4009	
1.3	,32(4),1	,Nottingham Fo..,-	,76	,3	,6.88,2015/2016,EC,0.4	,3	,5	,2906	
0.7	,27(10),2	,Nottingham Fo..,-	,78.8	,1	,6.77,2014/2015,EC,0.4	,3	,4	,2583	
0.6	,6(2),-	,Nottingham Fo..,-	,81.5	,-	,6.73,2013/2014,EC,0.3	,-	,2	,572	
1,214,6,,0,77.4,17,6.83,Total / Average,,0.6,15,28,16577
-	,0(2),-	,Sheffield Uni..,-	,50	,-	,6.24,2019/2020,EPL,0.5	,-	,-	,13	
0.6	,29(10),-	,Nottingham Fo..,-	,72.9	,3	,6.67,2018/2019,EC,0.9	,1	,5	,2684	
0.9	,42(4),2	,Nottingham Fo..,-	,81	,3	,6.98,2017/2018,EC,0.8	,4	,5	,3810	
1.3	,45(1),1	,Nottingham Fo..,-	,78.1	,7	,6.86,2016/2017,EC,0.5	,4	,7	,4009	
1.3	,32(4),1	,Nottingham Fo..,-	,76	,3	,6.88,2015/2016,EC,0.4	,3	,5	,2906	
0.7	,27(10),2	,Nottingham Fo..,-	,78.8	,1	,6.77,2014/2015,EC,0.4	,3	,4	,2583	
0.6	,6(2),-	,Nottingham Fo..,-	,81.5	,-	,6.73,2013/2014,EC,0.3	,-	,2	,572	
1,214,6,,0,77.4,17,6.83,Total / Average,,0.6,15,28,16577
