ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2.5	,5(3),1	,Manchester Ci..,-	,88	,2	,7.52,2019/2020,EPL,0.5	,4	,2	,465	
1	,1(1),-	,Manchester Ci..,-	,89.3	,-	,6.10,2019/2020,UCL,-	,-	,-	,69	
1.7	,31(5),4	,Manchester Ci..,-	,86.1	,3	,7.26,2018/2019,EPL,0.3	,7	,7	,2853	
1.5	,6(2),-	,Manchester Ci..,-	,89.3	,-	,7.68,2018/2019,UCL,0.1	,4	,1	,578	
0.6	,5,1	,Portugal,-	,87.3	,-	,7.66,2018/2019,UNL,0.6	,1	,2	,450	
1.1	,6(3),-	,Manchester Ci..,-	,85.7	,1	,7.20,2017/2018,UCL,0.3	,1	,2	,563	
0.7	,15(20),1	,Manchester Ci..,-	,87	,-	,6.79,2017/2018,EPL,0.1	,6	,4	,1520	
1.1	,11,-	,Monaco,-	,85.4	,1	,6.97,2016/2017,UCL,0.2	,2	,1	,921	
1.6	,33(4),3	,Monaco,-	,81.1	,3	,7.29,2016/2017,FL1,0.5	,8	,9	,2800	
0.5	,3(1),-	,Portugal,-	,81.5	,-	,6.57,2018,WC,0.3	,-	,-	,238	
1	,6,-	,Monaco,-	,84.4	,1	,6.64,2015/2016,UEL,0.2	,-	,-	,481	
1.3	,22(10),4	,Monaco,-	,82.8	,7	,7.00,2015/2016,FL1,0.4	,7	,1	,2240	
1	,5,-	,Portugal U21,-	,90.1	,1	,7.73,2015,IEU,0.6	,1	,-	,428	
0.4	,1(6),-	,Monaco,-	,79	,1	,6.58,2014/2015,UCL,0.1	,-	,1	,197	
1.1	,25(7),3	,Monaco,-	,84.7	,1	,7.23,2014/2015,FL1,0.5	,9	,3	,2287	
1.3,237,17,,0,84.7,21,7.12,Total / Average,,0.3,50,33,16090
2.5	,5(3),1	,Manchester Ci..,-	,88	,2	,7.52,2019/2020,EPL,0.5	,4	,2	,465	
1	,1(1),-	,Manchester Ci..,-	,89.3	,-	,6.10,2019/2020,UCL,-	,-	,-	,69	
1.7	,31(5),4	,Manchester Ci..,-	,86.1	,3	,7.26,2018/2019,EPL,0.3	,7	,7	,2853	
1.5	,6(2),-	,Manchester Ci..,-	,89.3	,-	,7.68,2018/2019,UCL,0.1	,4	,1	,578	
0.6	,5,1	,Portugal,-	,87.3	,-	,7.66,2018/2019,UNL,0.6	,1	,2	,450	
1.1	,6(3),-	,Manchester Ci..,-	,85.7	,1	,7.20,2017/2018,UCL,0.3	,1	,2	,563	
0.7	,15(20),1	,Manchester Ci..,-	,87	,-	,6.79,2017/2018,EPL,0.1	,6	,4	,1520	
1.1	,11,-	,Monaco,-	,85.4	,1	,6.97,2016/2017,UCL,0.2	,2	,1	,921	
1.6	,33(4),3	,Monaco,-	,81.1	,3	,7.29,2016/2017,FL1,0.5	,8	,9	,2800	
0.5	,3(1),-	,Portugal,-	,81.5	,-	,6.57,2018,WC,0.3	,-	,-	,238	
1	,6,-	,Monaco,-	,84.4	,1	,6.64,2015/2016,UEL,0.2	,-	,-	,481	
1.3	,22(10),4	,Monaco,-	,82.8	,7	,7.00,2015/2016,FL1,0.4	,7	,1	,2240	
1	,5,-	,Portugal U21,-	,90.1	,1	,7.73,2015,IEU,0.6	,1	,-	,428	
0.4	,1(6),-	,Monaco,-	,79	,1	,6.58,2014/2015,UCL,0.1	,-	,1	,197	
1.1	,25(7),3	,Monaco,-	,84.7	,1	,7.23,2014/2015,FL1,0.5	,9	,3	,2287	
1.3,237,17,,0,84.7,21,7.12,Total / Average,,0.3,50,33,16090
