ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.2	,0(5),-	,Sheffield Uni..,1	,68.2	,-	,6.21,2019/2020,EPL,1	,1	,-	,117	
1.9	,34(6),5	,Sheffield Uni..,-	,76.7	,3	,6.88,2018/2019,EC,1.1	,23	,4	,3028	
1.6	,28(6),2	,Sheffield Uni..,-	,74.3	,4	,6.63,2017/2018,EC,0.7	,13	,4	,2361	
1.1	,17(16),-	,Leeds,-	,73.6	,4	,6.27,2014/2015,EC,0.4	,5	,1	,1630	
0.9	,6(4),1	,Reading,-	,78.9	,-	,6.29,2013/2014,EC,0.5	,2	,-	,481	
2	,15(1),-	,Doncaster,1	,73.3	,1	,6.54,2013/2014,EC,0.6	,4	,1	,1297	
-	,0(2),-	,Southampton,-	,75	,-	,5.93,2012/2013,EPL,-	,-	,-	,18	
1.5,140,8,,2,74.8,12,6.56,Total / Average,,0.7,48,10,8932
0.2	,0(5),-	,Sheffield Uni..,1	,68.2	,-	,6.21,2019/2020,EPL,1	,1	,-	,117	
1.9	,34(6),5	,Sheffield Uni..,-	,76.7	,3	,6.88,2018/2019,EC,1.1	,23	,4	,3028	
1.6	,28(6),2	,Sheffield Uni..,-	,74.3	,4	,6.63,2017/2018,EC,0.7	,13	,4	,2361	
1.1	,17(16),-	,Leeds,-	,73.6	,4	,6.27,2014/2015,EC,0.4	,5	,1	,1630	
0.9	,6(4),1	,Reading,-	,78.9	,-	,6.29,2013/2014,EC,0.5	,2	,-	,481	
2	,15(1),-	,Doncaster,1	,73.3	,1	,6.54,2013/2014,EC,0.6	,4	,1	,1297	
-	,0(2),-	,Southampton,-	,75	,-	,5.93,2012/2013,EPL,-	,-	,-	,18	
1.5,140,8,,2,74.8,12,6.56,Total / Average,,0.7,48,10,8932
