ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.4	,5,-	,Bournemouth,-	,76.2	,2	,6.48,2019/2020,EPL,1.2	,-	,-	,402	
0.3	,25,-	,Bournemouth,1	,82	,5	,6.71,2018/2019,EPL,1.1	,1	,1	,2073	
0.5	,22(5),-	,Bournemouth,-	,82.3	,6	,6.73,2017/2018,EPL,0.6	,1	,3	,2069	
0.7	,34(2),1	,Bournemouth,-	,84.7	,6	,6.84,2016/2017,EPL,0.9	,1	,5	,3099	
0.5	,22(9),1	,Bournemouth,-	,84.3	,5	,6.87,2015/2016,EPL,0.7	,2	,-	,2097	
0.4	,6(23),-	,Bournemouth,-	,85.1	,5	,6.45,2014/2015,EC,0.7	,-	,1	,807	
0.8	,1(4),-	,Bournemouth,-	,75.9	,1	,6.36,2013/2014,EC,0.2	,-	,-	,130	
0.8	,7(1),-	,Derby,-	,82.7	,3	,6.89,2013/2014,EC,1.5	,-	,-	,647	
1	,1,-	,England U21,-	,80	,-	,6.97,2013,IEU,-	,-	,-	,90	
-	,0(1),-	,Tottenham,-	,90.9	,-	,6.45,2011/2012,EPL,-	,-	,-	,14	
0.5,168,2,,1,83.3,33,6.72,Total / Average,,0.8,5,10,11428
0.4	,5,-	,Bournemouth,-	,76.2	,2	,6.48,2019/2020,EPL,1.2	,-	,-	,402	
0.3	,25,-	,Bournemouth,1	,82	,5	,6.71,2018/2019,EPL,1.1	,1	,1	,2073	
0.5	,22(5),-	,Bournemouth,-	,82.3	,6	,6.73,2017/2018,EPL,0.6	,1	,3	,2069	
0.7	,34(2),1	,Bournemouth,-	,84.7	,6	,6.84,2016/2017,EPL,0.9	,1	,5	,3099	
0.5	,22(9),1	,Bournemouth,-	,84.3	,5	,6.87,2015/2016,EPL,0.7	,2	,-	,2097	
0.4	,6(23),-	,Bournemouth,-	,85.1	,5	,6.45,2014/2015,EC,0.7	,-	,1	,807	
0.8	,1(4),-	,Bournemouth,-	,75.9	,1	,6.36,2013/2014,EC,0.2	,-	,-	,130	
0.8	,7(1),-	,Derby,-	,82.7	,3	,6.89,2013/2014,EC,1.5	,-	,-	,647	
1	,1,-	,England U21,-	,80	,-	,6.97,2013,IEU,-	,-	,-	,90	
-	,0(1),-	,Tottenham,-	,90.9	,-	,6.45,2011/2012,EPL,-	,-	,-	,14	
0.5,168,2,,1,83.3,33,6.72,Total / Average,,0.8,5,10,11428
