ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.3	,5(4),-	,Bournemouth,-	,68.8	,-	,6.41,2019/2020,EPL,2.8	,-	,-	,444	
1.1	,2(8),-	,Bournemouth,-	,71.7	,-	,6.50,2018/2019,EPL,1.5	,-	,1	,342	
2	,1,-	,England U21,-	,42.9	,-	,6.58,2019,IEU,3	,-	,-	,71	
0.3	,0(3),-	,Liverpool,-	,55.6	,1	,6.02,2017/2018,UCL,0.3	,-	,-	,36	
1	,5(16),-	,Liverpool,-	,75.1	,-	,6.40,2017/2018,EPL,1	,1	,1	,583	
1.4	,21(4),1	,Vitesse,-	,72.5	,-	,6.74,2015/2016,NE,1.7	,7	,1	,1813	
-	,0(1),-	,Chelsea,-	,100	,-	,6.21,2014/2015,UCL,-	,-	,-	,17	
1.2,70,1,,0,71.9,1,6.52,Total / Average,,1.5,8,3,3306
1.3	,5(4),-	,Bournemouth,-	,68.8	,-	,6.41,2019/2020,EPL,2.8	,-	,-	,444	
1.1	,2(8),-	,Bournemouth,-	,71.7	,-	,6.50,2018/2019,EPL,1.5	,-	,1	,342	
2	,1,-	,England U21,-	,42.9	,-	,6.58,2019,IEU,3	,-	,-	,71	
0.3	,0(3),-	,Liverpool,-	,55.6	,1	,6.02,2017/2018,UCL,0.3	,-	,-	,36	
1	,5(16),-	,Liverpool,-	,75.1	,-	,6.40,2017/2018,EPL,1	,1	,1	,583	
1.4	,21(4),1	,Vitesse,-	,72.5	,-	,6.74,2015/2016,NE,1.7	,7	,1	,1813	
-	,0(1),-	,Chelsea,-	,100	,-	,6.21,2014/2015,UCL,-	,-	,-	,17	
1.2,70,1,,0,71.9,1,6.52,Total / Average,,1.5,8,3,3306
