ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.6	,7(1),-	,Bournemouth,-	,75.9	,4	,6.53,2019/2020,EPL,1	,-	,-	,643	
1	,1(1),-	,Colombia,-	,83.6	,1	,6.76,2019,ICA,1.5	,-	,1	,116	
1	,29(1),-	,Bournemouth,-	,83.2	,12	,6.97,2018/2019,EPL,2.5	,2	,-	,2511	
1	,25(1),-	,Levante,-	,81.7	,16	,6.99,2017/2018,SLL,3.4	,-	,1	,2138	
0.3	,2(2),-	,Colombia,-	,84.6	,-	,6.22,2018,WC,0.8	,-	,-	,176	
1.1	,31(2),-	,Levante,-	,75.1	,11	,6.68,2015/2016,SLL,1.9	,1	,2	,2686	
1,103,0,,0,79.7,44,6.81,Total / Average,,2.3,3,4,8270
0.6	,7(1),-	,Bournemouth,-	,75.9	,4	,6.53,2019/2020,EPL,1	,-	,-	,643	
1	,1(1),-	,Colombia,-	,83.6	,1	,6.76,2019,ICA,1.5	,-	,1	,116	
1	,29(1),-	,Bournemouth,-	,83.2	,12	,6.97,2018/2019,EPL,2.5	,2	,-	,2511	
1	,25(1),-	,Levante,-	,81.7	,16	,6.99,2017/2018,SLL,3.4	,-	,1	,2138	
0.3	,2(2),-	,Colombia,-	,84.6	,-	,6.22,2018,WC,0.8	,-	,-	,176	
1.1	,31(2),-	,Levante,-	,75.1	,11	,6.68,2015/2016,SLL,1.9	,1	,2	,2686	
1,103,0,,0,79.7,44,6.81,Total / Average,,2.3,3,4,8270
