ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(2),-	,Bournemouth,-	,82.4	,-	,6.23,2019/2020,EPL,-	,-	,-	,48	
0.5	,9(10),-	,Bournemouth,-	,78	,1	,6.33,2018/2019,EPL,0.1	,1	,1	,796	
1.7	,22(10),2	,Bournemouth,-	,80.4	,1	,6.65,2017/2018,EPL,0.1	,2	,6	,2002	
0.6	,13(12),-	,Bournemouth,-	,82.5	,-	,6.36,2016/2017,EPL,-	,-	,-	,1059	
1.5	,4(2),1	,Liverpool,-	,85.8	,1	,6.98,2015/2016,UEL,0.2	,1	,-	,414	
1.1	,12(15),1	,Liverpool,-	,84.8	,-	,6.59,2015/2016,EPL,0.1	,1	,2	,1172	
-	,2,1	,Liverpool,-	,69	,-	,7.35,2014/2015,UEL,-	,-	,-	,166	
1.6	,13(7),1	,Derby,-	,86.7	,2	,6.89,2014/2015,EC,0.2	,5	,1	,1142	
0.8	,7(5),-	,Liverpool,-	,87.4	,-	,6.63,2014/2015,EPL,0.3	,-	,-	,618	
1.6	,4(7),1	,Birmingham,-	,78.1	,1	,6.57,2013/2014,EC,-	,1	,1	,529	
1	,0(1),-	,Liverpool,-	,100	,-	,6.15,2013/2014,EPL,-	,-	,-	,14	
1	,1,-	,Liverpool,-	,90.9	,-	,6.87,2012/2013,EPL,-	,-	,1	,64	
1.1,158,7,,0,82.7,6,6.59,Total / Average,,0.1,11,12,8024
-	,0(2),-	,Bournemouth,-	,82.4	,-	,6.23,2019/2020,EPL,-	,-	,-	,48	
0.5	,9(10),-	,Bournemouth,-	,78	,1	,6.33,2018/2019,EPL,0.1	,1	,1	,796	
1.7	,22(10),2	,Bournemouth,-	,80.4	,1	,6.65,2017/2018,EPL,0.1	,2	,6	,2002	
0.6	,13(12),-	,Bournemouth,-	,82.5	,-	,6.36,2016/2017,EPL,-	,-	,-	,1059	
1.5	,4(2),1	,Liverpool,-	,85.8	,1	,6.98,2015/2016,UEL,0.2	,1	,-	,414	
1.1	,12(15),1	,Liverpool,-	,84.8	,-	,6.59,2015/2016,EPL,0.1	,1	,2	,1172	
-	,2,1	,Liverpool,-	,69	,-	,7.35,2014/2015,UEL,-	,-	,-	,166	
1.6	,13(7),1	,Derby,-	,86.7	,2	,6.89,2014/2015,EC,0.2	,5	,1	,1142	
0.8	,7(5),-	,Liverpool,-	,87.4	,-	,6.63,2014/2015,EPL,0.3	,-	,-	,618	
1.6	,4(7),1	,Birmingham,-	,78.1	,1	,6.57,2013/2014,EC,-	,1	,1	,529	
1	,0(1),-	,Liverpool,-	,100	,-	,6.15,2013/2014,EPL,-	,-	,-	,14	
1	,1,-	,Liverpool,-	,90.9	,-	,6.87,2012/2013,EPL,-	,-	,1	,64	
1.1,158,7,,0,82.7,6,6.59,Total / Average,,0.1,11,12,8024
