ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.7	,6,-	,Brighton,-	,84	,1	,6.97,2019/2020,EPL,3.5	,1	,-	,540	
0.7	,43(1),4	,Bristol City,-	,74	,5	,7.30,2018/2019,EC,6.4	,3	,-	,3747	
0.2	,25(3),6	,Ipswich,-	,58.7	,6	,7.24,2017/2018,EC,5.3	,-	,2	,2287	
0.2	,21(2),2	,Ipswich,-	,59	,1	,7.35,2016/2017,EC,4.7	,1	,1	,1866	
0.4,101,12,,0,66.9,13,7.28,Total / Average,,5.5,5,3,8440
0.7	,6,-	,Brighton,-	,84	,1	,6.97,2019/2020,EPL,3.5	,1	,-	,540	
0.7	,43(1),4	,Bristol City,-	,74	,5	,7.30,2018/2019,EC,6.4	,3	,-	,3747	
0.2	,25(3),6	,Ipswich,-	,58.7	,6	,7.24,2017/2018,EC,5.3	,-	,2	,2287	
0.2	,21(2),2	,Ipswich,-	,59	,1	,7.35,2016/2017,EC,4.7	,1	,1	,1866	
0.4,101,12,,0,66.9,13,7.28,Total / Average,,5.5,5,3,8440
