ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,1(1),-	,Brighton,-	,81.3	,-	,6.08,2019/2020,EPL,-	,-	,-	,68	
0.4	,19(3),-	,Brighton,-	,72.7	,4	,6.90,2018/2019,EPL,2	,-	,1	,1751	
0.7	,15(3),1	,RasenBallspor..,-	,73.6	,2	,6.90,2017/2018,GB,2.8	,1	,1	,1350	
0.2	,2(3),1	,RasenBallspor..,-	,71.8	,-	,6.91,2017/2018,UEL,3.2	,-	,-	,265	
0.3	,1(2),-	,RasenBallspor..,-	,67.2	,-	,6.09,2017/2018,UCL,1.3	,-	,-	,115	
0.6	,21(1),-	,RasenBallspor..,-	,74.4	,3	,7.24,2016/2017,GB,3.3	,-	,1	,1894	
0.5,72,2,,0,73.4,9,6.95,Total / Average,,2.6,1,3,5443
-	,1(1),-	,Brighton,-	,81.3	,-	,6.08,2019/2020,EPL,-	,-	,-	,68	
0.4	,19(3),-	,Brighton,-	,72.7	,4	,6.90,2018/2019,EPL,2	,-	,1	,1751	
0.7	,15(3),1	,RasenBallspor..,-	,73.6	,2	,6.90,2017/2018,GB,2.8	,1	,1	,1350	
0.2	,2(3),1	,RasenBallspor..,-	,71.8	,-	,6.91,2017/2018,UEL,3.2	,-	,-	,265	
0.3	,1(2),-	,RasenBallspor..,-	,67.2	,-	,6.09,2017/2018,UCL,1.3	,-	,-	,115	
0.6	,21(1),-	,RasenBallspor..,-	,74.4	,3	,7.24,2016/2017,GB,3.3	,-	,1	,1894	
0.5,72,2,,0,73.4,9,6.95,Total / Average,,2.6,1,3,5443
