ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1	,9,-	,Brighton,-	,88.9	,1	,6.75,2019/2020,EPL,0.3	,-	,-	,798	
0.4	,29(1),1	,Brighton,1	,83.7	,6	,6.66,2018/2019,EPL,0.9	,1	,1	,2487	
0.5	,36,-	,Brighton,-	,83.9	,6	,6.79,2017/2018,EPL,0.8	,-	,3	,3240	
0.6	,33(6),1	,Brighton,1	,87.5	,6	,6.99,2016/2017,EC,1.6	,2	,2	,3037	
1.2	,45,5	,Brighton,1	,84.2	,10	,7.26,2015/2016,EC,1.2	,7	,5	,3971	
1	,10(6),-	,Brighton,-	,83.6	,2	,6.99,2014/2015,EC,1	,2	,-	,1009	
1.6	,12(2),2	,Brighton,-	,82	,2	,7.37,2013/2014,EC,1.4	,2	,3	,1112	
1.8	,24(2),1	,Charlton,-	,77.3	,5	,6.89,2013/2014,EC,1.1	,3	,2	,2129	
0.9,215,10,,3,83.9,38,6.97,Total / Average,,1.1,17,16,17783
1	,9,-	,Brighton,-	,88.9	,1	,6.75,2019/2020,EPL,0.3	,-	,-	,798	
0.4	,29(1),1	,Brighton,1	,83.7	,6	,6.66,2018/2019,EPL,0.9	,1	,1	,2487	
0.5	,36,-	,Brighton,-	,83.9	,6	,6.79,2017/2018,EPL,0.8	,-	,3	,3240	
0.6	,33(6),1	,Brighton,1	,87.5	,6	,6.99,2016/2017,EC,1.6	,2	,2	,3037	
1.2	,45,5	,Brighton,1	,84.2	,10	,7.26,2015/2016,EC,1.2	,7	,5	,3971	
1	,10(6),-	,Brighton,-	,83.6	,2	,6.99,2014/2015,EC,1	,2	,-	,1009	
1.6	,12(2),2	,Brighton,-	,82	,2	,7.37,2013/2014,EC,1.4	,2	,3	,1112	
1.8	,24(2),1	,Charlton,-	,77.3	,5	,6.89,2013/2014,EC,1.1	,3	,2	,2129	
0.9,215,10,,3,83.9,38,6.97,Total / Average,,1.1,17,16,17783
