ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.7	,9,-	,Brighton,-	,78.5	,-	,6.90,2019/2020,EPL,3.7	,-	,-	,810	
0.7	,13(1),1	,Wigan,-	,68.8	,3	,6.67,2018/2019,EC,4.4	,-	,-	,1214	
0.4	,39(3),4	,Wigan,-	,68.8	,10	,7.11,2016/2017,EC,4.4	,1	,-	,3549	
0.3	,28(4),3	,Fulham,-	,70.1	,9	,7.08,2015/2016,EC,4.5	,-	,2	,2561	
0.6	,20,3	,Fulham,-	,76.1	,7	,7.30,2014/2015,EC,4.3	,1	,-	,1800	
0.7	,23(1),5	,Birmingham,-	,66.3	,2	,7.70,2013/2014,EC,5.4	,-	,1	,2033	
0.4	,6(3),-	,Fulham,-	,68.8	,-	,6.51,2013/2014,EPL,2.3	,-	,-	,605	
0.5,150,16,,0,70.2,31,7.14,Total / Average,,4.4,2,3,12572
0.7	,9,-	,Brighton,-	,78.5	,-	,6.90,2019/2020,EPL,3.7	,-	,-	,810	
0.7	,13(1),1	,Wigan,-	,68.8	,3	,6.67,2018/2019,EC,4.4	,-	,-	,1214	
0.4	,39(3),4	,Wigan,-	,68.8	,10	,7.11,2016/2017,EC,4.4	,1	,-	,3549	
0.3	,28(4),3	,Fulham,-	,70.1	,9	,7.08,2015/2016,EC,4.5	,-	,2	,2561	
0.6	,20,3	,Fulham,-	,76.1	,7	,7.30,2014/2015,EC,4.3	,1	,-	,1800	
0.7	,23(1),5	,Birmingham,-	,66.3	,2	,7.70,2013/2014,EC,5.4	,-	,1	,2033	
0.4	,6(3),-	,Fulham,-	,68.8	,-	,6.51,2013/2014,EPL,2.3	,-	,-	,605	
0.5,150,16,,0,70.2,31,7.14,Total / Average,,4.4,2,3,12572
