ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.3	,7,-	,Brighton,-	,85	,-	,6.86,2019/2020,EPL,0.7	,-	,1	,630	
0.5	,30,1	,Brighton,-	,80	,2	,6.65,2018/2019,EPL,1.2	,1	,1	,2551	
-	,1(1),-	,Netherlands,-	,83.6	,-	,6.31,2018/2019,UNL,-	,-	,-	,120	
1	,35,-	,Brighton,1	,78.1	,2	,6.75,2017/2018,EPL,1.4	,-	,4	,3120	
1.2	,6,-	,PSV Eindhoven,-	,75.2	,-	,6.73,2016/2017,UCL,1.3	,1	,-	,534	
2.1	,33(1),3	,PSV Eindhoven,-	,80.2	,2	,7.35,2016/2017,NE,1.6	,6	,7	,2891	
1.6	,8,1	,PSV Eindhoven,-	,77.6	,-	,7.07,2015/2016,UCL,1.1	,1	,-	,751	
2.3	,33,2	,PSV Eindhoven,-	,76.6	,5	,7.63,2015/2016,NE,1.5	,10	,6	,2922	
2.3	,34,3	,Vitesse,1	,77.2	,6	,7.24,2014/2015,NE,1.8	,7	,4	,2947	
1.5	,34(1),-	,Vitesse,-	,76	,3	,7.08,2013/2014,NE,1.4	,7	,5	,3061	
1.6,224,10,,2,78.2,20,7.09,Total / Average,,1.4,33,28,19527
1.3	,7,-	,Brighton,-	,85	,-	,6.86,2019/2020,EPL,0.7	,-	,1	,630	
0.5	,30,1	,Brighton,-	,80	,2	,6.65,2018/2019,EPL,1.2	,1	,1	,2551	
-	,1(1),-	,Netherlands,-	,83.6	,-	,6.31,2018/2019,UNL,-	,-	,-	,120	
1	,35,-	,Brighton,1	,78.1	,2	,6.75,2017/2018,EPL,1.4	,-	,4	,3120	
1.2	,6,-	,PSV Eindhoven,-	,75.2	,-	,6.73,2016/2017,UCL,1.3	,1	,-	,534	
2.1	,33(1),3	,PSV Eindhoven,-	,80.2	,2	,7.35,2016/2017,NE,1.6	,6	,7	,2891	
1.6	,8,1	,PSV Eindhoven,-	,77.6	,-	,7.07,2015/2016,UCL,1.1	,1	,-	,751	
2.3	,33,2	,PSV Eindhoven,-	,76.6	,5	,7.63,2015/2016,NE,1.5	,10	,6	,2922	
2.3	,34,3	,Vitesse,1	,77.2	,6	,7.24,2014/2015,NE,1.8	,7	,4	,2947	
1.5	,34(1),-	,Vitesse,-	,76	,3	,7.08,2013/2014,NE,1.4	,7	,5	,3061	
1.6,224,10,,2,78.2,20,7.09,Total / Average,,1.4,33,28,19527
