ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(4),-	,Brighton,-	,81.5	,-	,6.07,2019/2020,EPL,-	,-	,-	,57	
-	,1,-	,Cameroon,-	,89.4	,-	,6.53,2019,ACoN,-	,-	,-	,74	
0.1	,19(3),-	,Brighton,-	,74.3	,-	,6.31,2018/2019,EPL,1.1	,-	,-	,1805	
0.2	,25,-	,Brighton,-	,70.5	,2	,6.59,2017/2018,EPL,1.2	,-	,-	,2238	
0.3	,24,-	,Brighton,1	,76	,5	,6.92,2016/2017,EC,1	,-	,4	,2160	
0.2	,15(3),-	,Brighton,-	,70.6	,3	,6.70,2015/2016,EC,1.7	,-	,2	,1392	
0.5	,14,-	,Wigan,-	,65.9	,3	,6.91,2014/2015,EC,2.4	,-	,-	,1260	
0.5	,3(1),-	,Olympiacos,-	,75.8	,1	,6.42,2013/2014,UCL,0.3	,-	,-	,242	
-	,1,-	,Valenciennes,-	,89.7	,-	,7.11,2013/2014,FL1,3	,-	,-	,90	
0.7	,26(3),1	,Valenciennes,-	,75.9	,5	,6.75,2012/2013,FL1,1.4	,-	,2	,2423	
0.7	,27(1),1	,Valenciennes,-	,71.9	,5	,6.78,2011/2012,FL1,1	,-	,-	,2401	
0.5	,22,-	,Valenciennes,-	,73.2	,5	,6.93,2010/2011,FL1,1	,1	,2	,1922	
0.4	,20(9),1	,Valenciennes,-	,75.4	,2	,7.00,2009/2010,FL1,0.5	,2	,-	,2065	
0.4,221,3,,1,73.4,31,6.75,Total / Average,,1.1,3,10,18129
-	,0(4),-	,Brighton,-	,81.5	,-	,6.07,2019/2020,EPL,-	,-	,-	,57	
-	,1,-	,Cameroon,-	,89.4	,-	,6.53,2019,ACoN,-	,-	,-	,74	
0.1	,19(3),-	,Brighton,-	,74.3	,-	,6.31,2018/2019,EPL,1.1	,-	,-	,1805	
0.2	,25,-	,Brighton,-	,70.5	,2	,6.59,2017/2018,EPL,1.2	,-	,-	,2238	
0.3	,24,-	,Brighton,1	,76	,5	,6.92,2016/2017,EC,1	,-	,4	,2160	
0.2	,15(3),-	,Brighton,-	,70.6	,3	,6.70,2015/2016,EC,1.7	,-	,2	,1392	
0.5	,14,-	,Wigan,-	,65.9	,3	,6.91,2014/2015,EC,2.4	,-	,-	,1260	
0.5	,3(1),-	,Olympiacos,-	,75.8	,1	,6.42,2013/2014,UCL,0.3	,-	,-	,242	
-	,1,-	,Valenciennes,-	,89.7	,-	,7.11,2013/2014,FL1,3	,-	,-	,90	
0.7	,26(3),1	,Valenciennes,-	,75.9	,5	,6.75,2012/2013,FL1,1.4	,-	,2	,2423	
0.7	,27(1),1	,Valenciennes,-	,71.9	,5	,6.78,2011/2012,FL1,1	,-	,-	,2401	
0.5	,22,-	,Valenciennes,-	,73.2	,5	,6.93,2010/2011,FL1,1	,1	,2	,1922	
0.4	,20(9),1	,Valenciennes,-	,75.4	,2	,7.00,2009/2010,FL1,0.5	,2	,-	,2065	
0.4,221,3,,1,73.4,31,6.75,Total / Average,,1.1,3,10,18129
