ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.9	,3(4),-	,Brighton,-	,62.1	,-	,6.16,2019/2020,EPL,1.7	,-	,-	,269	
1.4	,30(8),3	,Brighton,-	,58.3	,5	,6.65,2018/2019,EPL,4.6	,13	,1	,2513	
1.5	,25(10),3	,Brighton,-	,55.1	,9	,6.59,2017/2018,EPL,3.3	,12	,-	,2198	
2.4	,39(6),4	,Brighton,1	,59.2	,7	,7.08,2016/2017,EC,3.6	,23	,5	,3447	
1	,2,-	,Crystal Palac..,-	,60	,-	,6.30,2015/2016,EPL,2.5	,-	,-	,128	
1.2	,6(13),-	,Bournemouth,-	,65.4	,2	,6.38,2015/2016,EPL,1.2	,3	,-	,669	
3.6	,18,1	,Reading,-	,66.1	,4	,6.96,2014/2015,EC,3.5	,8	,1	,1532	
2.2	,9(8),2	,Crystal Palac..,1	,57.1	,3	,6.89,2014/2015,EPL,2.9	,7	,3	,866	
0.9	,3(11),-	,Crystal Palac..,-	,59.2	,1	,6.35,2013/2014,EPL,1.5	,1	,1	,395	
1.8,195,13,,2,59.4,31,6.72,Total / Average,,3.2,67,11,12017
