ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,9,-	,Brighton,-	,77.8	,-	,6.75,2019/2020,EPL,0.2	,-	,-	,810	
-	,34,-	,Brighton,-	,50.1	,2	,6.41,2018/2019,EPL,0.3	,-	,-	,3060	
-	,38,1	,Brighton,-	,48	,-	,6.74,2017/2018,EPL,0.3	,-	,-	,3420	
-	,2,-	,Valencia,-	,77	,-	,6.39,2016/2017,SLL,-	,-	,-	,180	
-	,6,-	,Genk,-	,57.3	,-	,6.96,2016/2017,UEL,0.8	,-	,-	,540	
-	,3,-	,Australia,-	,84.7	,-	,6.45,2018,WC,0.3	,-	,-	,270	
-	,8,-	,Valencia,-	,57.9	,-	,6.71,2015/2016,SLL,0.4	,-	,-	,720	
-	,4,1	,Valencia,-	,55	,-	,7.39,2015/2016,UEL,0.5	,-	,-	,360	
-	,12,1	,Club Brugge,-	,61.7	,1	,7.10,2014/2015,UEL,0.1	,-	,-	,1080	
-	,3,-	,Australia,-	,81.3	,-	,5.96,2014,WC,-	,-	,-	,270	
0,119,3,,0,55.8,3,6.68,Total / Average,,0.3,0,0,10710
-	,9,-	,Brighton,-	,77.8	,-	,6.75,2019/2020,EPL,0.2	,-	,-	,810	
-	,34,-	,Brighton,-	,50.1	,2	,6.41,2018/2019,EPL,0.3	,-	,-	,3060	
-	,38,1	,Brighton,-	,48	,-	,6.74,2017/2018,EPL,0.3	,-	,-	,3420	
-	,2,-	,Valencia,-	,77	,-	,6.39,2016/2017,SLL,-	,-	,-	,180	
-	,6,-	,Genk,-	,57.3	,-	,6.96,2016/2017,UEL,0.8	,-	,-	,540	
-	,3,-	,Australia,-	,84.7	,-	,6.45,2018,WC,0.3	,-	,-	,270	
-	,8,-	,Valencia,-	,57.9	,-	,6.71,2015/2016,SLL,0.4	,-	,-	,720	
-	,4,1	,Valencia,-	,55	,-	,7.39,2015/2016,UEL,0.5	,-	,-	,360	
-	,12,1	,Club Brugge,-	,61.7	,1	,7.10,2014/2015,UEL,0.1	,-	,-	,1080	
-	,3,-	,Australia,-	,81.3	,-	,5.96,2014,WC,-	,-	,-	,270	
0,119,3,,0,55.8,3,6.68,Total / Average,,0.3,0,0,10710
