ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(1),-	,Burnley,-	,73.3	,-	,7.01,2019/2020,EPL,1	,-	,-	,35	
0.2	,35(3),-	,Burnley,-	,72.5	,2	,6.75,2018/2019,EPL,1.9	,-	,1	,3240	
-	,10(1),-	,Burnley,-	,66.9	,3	,6.75,2017/2018,EPL,2.1	,-	,-	,949	
0.2	,26(3),1	,Leeds,-	,77.1	,4	,6.86,2016/2017,EC,1.6	,-	,3	,2349	
0.4	,39,5	,Leeds,-	,73.8	,3	,7.26,2015/2016,EC,1.7	,1	,4	,3510	
0.6	,22(1),2	,Leeds,-	,67.2	,2	,7.13,2014/2015,EC,1.4	,2	,1	,1948	
0.3,141,8,,0,72.5,14,6.98,Total / Average,,1.7,3,9,12031
-	,0(1),-	,Burnley,-	,73.3	,-	,7.01,2019/2020,EPL,1	,-	,-	,35	
0.2	,35(3),-	,Burnley,-	,72.5	,2	,6.75,2018/2019,EPL,1.9	,-	,1	,3240	
-	,10(1),-	,Burnley,-	,66.9	,3	,6.75,2017/2018,EPL,2.1	,-	,-	,949	
0.2	,26(3),1	,Leeds,-	,77.1	,4	,6.86,2016/2017,EC,1.6	,-	,3	,2349	
0.4	,39,5	,Leeds,-	,73.8	,3	,7.26,2015/2016,EC,1.7	,1	,4	,3510	
0.6	,22(1),2	,Leeds,-	,67.2	,2	,7.13,2014/2015,EC,1.4	,2	,1	,1948	
0.3,141,8,,0,72.5,14,6.98,Total / Average,,1.7,3,9,12031
