ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.2	,6,-	,Chelsea,-	,90.4	,2	,6.59,2019/2020,EPL,2	,-	,-	,492	
1	,1,-	,Chelsea,-	,95.5	,-	,6.29,2019/2020,UCL,2	,-	,-	,90	
-	,6(2),-	,Chelsea,-	,92.8	,1	,6.73,2018/2019,EPL,2.3	,-	,-	,615	
0.2	,15,-	,Chelsea,-	,92.9	,2	,6.95,2018/2019,UEL,2.7	,-	,-	,1334	
-	,1(1),-	,Denmark,-	,94.5	,-	,6.60,2018/2019,UNL,2.5	,-	,-	,101	
0.3	,5(1),-	,Chelsea,-	,94.7	,-	,6.45,2017/2018,UCL,1	,-	,-	,454	
0.4	,23(4),-	,Chelsea,-	,93.4	,-	,6.80,2017/2018,EPL,2.1	,-	,-	,2071	
0.4	,31,1	,Borussia M.Gl..,-	,91.5	,1	,7.01,2016/2017,GB,2.7	,2	,-	,2782	
-	,4,-	,Borussia M.Gl..,-	,88.3	,-	,6.50,2016/2017,UCL,0.5	,-	,-	,360	
1.3	,3,1	,Borussia M.Gl..,-	,90.7	,-	,7.61,2016/2017,UEL,2.7	,2	,-	,270	
-	,4,-	,Denmark,-	,93.1	,-	,6.68,2018,WC,1	,-	,-	,307	
0.5	,31,-	,Borussia M.Gl..,-	,87.6	,1	,7.08,2015/2016,GB,2.9	,3	,1	,2790	
-	,5,-	,Borussia M.Gl..,-	,87.1	,-	,7.10,2015/2016,UCL,2	,-	,-	,450	
0.3	,4,-	,Denmark U21,-	,89.8	,1	,6.67,2015,IEU,1.5	,-	,1	,360	
-	,0(1),-	,Chelsea,-	,100	,-	,6.08,2014/2015,EPL,-	,-	,-	,12	
0.4,148,2,,0,91.2,8,6.89,Total / Average,,2.3,7,2,12488
0.2	,6,-	,Chelsea,-	,90.4	,2	,6.59,2019/2020,EPL,2	,-	,-	,492	
1	,1,-	,Chelsea,-	,95.5	,-	,6.29,2019/2020,UCL,2	,-	,-	,90	
-	,6(2),-	,Chelsea,-	,92.8	,1	,6.73,2018/2019,EPL,2.3	,-	,-	,615	
0.2	,15,-	,Chelsea,-	,92.9	,2	,6.95,2018/2019,UEL,2.7	,-	,-	,1334	
-	,1(1),-	,Denmark,-	,94.5	,-	,6.60,2018/2019,UNL,2.5	,-	,-	,101	
0.3	,5(1),-	,Chelsea,-	,94.7	,-	,6.45,2017/2018,UCL,1	,-	,-	,454	
0.4	,23(4),-	,Chelsea,-	,93.4	,-	,6.80,2017/2018,EPL,2.1	,-	,-	,2071	
0.4	,31,1	,Borussia M.Gl..,-	,91.5	,1	,7.01,2016/2017,GB,2.7	,2	,-	,2782	
-	,4,-	,Borussia M.Gl..,-	,88.3	,-	,6.50,2016/2017,UCL,0.5	,-	,-	,360	
1.3	,3,1	,Borussia M.Gl..,-	,90.7	,-	,7.61,2016/2017,UEL,2.7	,2	,-	,270	
-	,4,-	,Denmark,-	,93.1	,-	,6.68,2018,WC,1	,-	,-	,307	
0.5	,31,-	,Borussia M.Gl..,-	,87.6	,1	,7.08,2015/2016,GB,2.9	,3	,1	,2790	
-	,5,-	,Borussia M.Gl..,-	,87.1	,-	,7.10,2015/2016,UCL,2	,-	,-	,450	
0.3	,4,-	,Denmark U21,-	,89.8	,1	,6.67,2015,IEU,1.5	,-	,1	,360	
-	,0(1),-	,Chelsea,-	,100	,-	,6.08,2014/2015,EPL,-	,-	,-	,12	
0.4,148,2,,0,91.2,8,6.89,Total / Average,,2.3,7,2,12488
