ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.8	,3(3),-	,Chelsea,-	,84.7	,-	,6.68,2019/2020,EPL,0.7	,-	,2	,313	
2	,0(1),-	,Chelsea,-	,92.3	,-	,7.19,2019/2020,UCL,1	,-	,1	,24	
1.4	,9(11),1	,Borussia Dort..,-	,79.5	,2	,6.86,2018/2019,GB,0.8	,4	,4	,924	
1.1	,5(2),-	,Borussia Dort..,-	,83.5	,-	,6.78,2018/2019,UCL,0.4	,1	,-	,455	
1.2	,27(5),2	,Borussia Dort..,-	,79.4	,1	,7.02,2017/2018,GB,0.5	,4	,5	,2313	
-	,2(1),-	,Borussia Dort..,-	,82.4	,-	,6.98,2017/2018,UEL,0.3	,-	,1	,173	
1.6	,4(1),-	,Borussia Dort..,-	,82.2	,-	,6.89,2017/2018,UCL,0.6	,-	,-	,374	
1.1	,15(14),-	,Borussia Dort..,-	,73.2	,1	,6.88,2016/2017,GB,0.7	,3	,6	,1518	
2.1	,6(4),-	,Borussia Dort..,-	,80.1	,1	,7.09,2016/2017,UCL,0.6	,1	,2	,599	
0.9	,4(5),-	,Borussia Dort..,-	,77.9	,1	,6.88,2015/2016,GB,0.4	,2	,-	,387	
-	,0(3),-	,Borussia Dort..,-	,72	,-	,6.12,2015/2016,UEL,0.3	,-	,-	,47	
1.2,125,3,,0,78.5,6,6.90,Total / Average,,0.6,15,21,7127
0.8	,3(3),-	,Chelsea,-	,84.7	,-	,6.68,2019/2020,EPL,0.7	,-	,2	,313	
2	,0(1),-	,Chelsea,-	,92.3	,-	,7.19,2019/2020,UCL,1	,-	,1	,24	
1.4	,9(11),1	,Borussia Dort..,-	,79.5	,2	,6.86,2018/2019,GB,0.8	,4	,4	,924	
1.1	,5(2),-	,Borussia Dort..,-	,83.5	,-	,6.78,2018/2019,UCL,0.4	,1	,-	,455	
1.2	,27(5),2	,Borussia Dort..,-	,79.4	,1	,7.02,2017/2018,GB,0.5	,4	,5	,2313	
-	,2(1),-	,Borussia Dort..,-	,82.4	,-	,6.98,2017/2018,UEL,0.3	,-	,1	,173	
1.6	,4(1),-	,Borussia Dort..,-	,82.2	,-	,6.89,2017/2018,UCL,0.6	,-	,-	,374	
1.1	,15(14),-	,Borussia Dort..,-	,73.2	,1	,6.88,2016/2017,GB,0.7	,3	,6	,1518	
2.1	,6(4),-	,Borussia Dort..,-	,80.1	,1	,7.09,2016/2017,UCL,0.6	,1	,2	,599	
0.9	,4(5),-	,Borussia Dort..,-	,77.9	,1	,6.88,2015/2016,GB,0.4	,2	,-	,387	
-	,0(3),-	,Borussia Dort..,-	,72	,-	,6.12,2015/2016,UEL,0.3	,-	,-	,47	
1.2,125,3,,0,78.5,6,6.90,Total / Average,,0.6,15,21,7127
