ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.2	,9,-	,Chelsea,-	,77.3	,-	,6.99,2019/2020,EPL,2.9	,-	,2	,810	
0.3	,3,-	,Chelsea,-	,87	,-	,6.94,2019/2020,UCL,2.7	,-	,-	,270	
0.4	,38,1	,Chelsea,-	,87	,4	,7.01,2018/2019,EPL,1.8	,1	,5	,3403	
0.6	,7(2),-	,Chelsea,-	,83.8	,2	,6.86,2018/2019,UEL,1.8	,-	,-	,694	
-	,0(1),-	,Spain,-	,84.6	,-	,6.32,2018/2019,UNL,-	,-	,-	,16	
0.1	,8,-	,Chelsea,-	,88.2	,-	,6.75,2017/2018,UCL,0.8	,1	,-	,705	
0.4	,37,1	,Chelsea,-	,86.7	,1	,7.18,2017/2018,EPL,2.2	,2	,6	,3330	
0.5	,38,4	,Chelsea,-	,87.3	,4	,7.21,2016/2017,EPL,2.1	,1	,4	,3420	
0.4	,8,-	,Chelsea,-	,77.9	,1	,7.40,2015/2016,UCL,1.9	,-	,-	,720	
0.3	,36(1),1	,Chelsea,-	,81.7	,7	,7.03,2015/2016,EPL,1.2	,2	,3	,3202	
-	,4,-	,Chelsea,-	,88.6	,1	,7.46,2014/2015,UCL,0.8	,-	,-	,390	
0.2	,29,3	,Chelsea,1	,83.6	,1	,7.24,2014/2015,EPL,1.3	,-	,3	,2484	
-	,0(1),-	,Spain,-	,100	,-	,6.30,2016,UEC,1	,-	,-	,9	
0.2	,9(1),-	,Chelsea,-	,80.5	,-	,7.37,2013/2014,UCL,1.7	,-	,2	,821	
0.2	,26(3),1	,Chelsea,-	,80.6	,1	,7.26,2013/2014,EPL,1.4	,-	,-	,2325	
-	,2,-	,Spain,-	,85	,-	,6.44,2014,WC,0.5	,-	,-	,180	
-	,1(1),-	,Spain,-	,96.1	,-	,7.82,2013,ICC,0.5	,-	,-	,135	
0.6	,8,-	,Chelsea,-	,76.8	,2	,6.82,2012/2013,UEL,1.3	,-	,-	,720	
-	,1,-	,Chelsea,-	,76.2	,-	,6.46,2012/2013,UCL,-	,-	,-	,61	
0.4	,24(3),1	,Chelsea,-	,81.8	,4	,6.99,2012/2013,EPL,0.9	,-	,4	,2196	
-	,2,-	,Marseille,-	,88.2	,-	,7.29,2012/2013,FL1,2	,-	,-	,180	
0.3	,8,-	,Marseille,-	,76.8	,-	,7.37,2011/2012,UCL,0.9	,-	,-	,710	
0.6	,27(3),3	,Marseille,-	,74.3	,5	,7.05,2011/2012,FL1,0.9	,1	,2	,2522	
0.3	,4,1	,Marseille,-	,78.7	,-	,7.77,2010/2011,UCL,0.3	,-	,-	,360	
0.2	,12(3),2	,Marseille,-	,78.6	,1	,7.11,2010/2011,FL1,1	,-	,1	,1015	
0.2	,33,3	,Osasuna,-	,62.6	,7	,7.04,2009/2010,SLL,0.5	,-	,1	,2970	
0.3,393,21,,1,81,41,7.11,Total / Average,,1.4,8,33,33648
0.2	,9,-	,Chelsea,-	,77.3	,-	,6.99,2019/2020,EPL,2.9	,-	,2	,810	
0.3	,3,-	,Chelsea,-	,87	,-	,6.94,2019/2020,UCL,2.7	,-	,-	,270	
0.4	,38,1	,Chelsea,-	,87	,4	,7.01,2018/2019,EPL,1.8	,1	,5	,3403	
0.6	,7(2),-	,Chelsea,-	,83.8	,2	,6.86,2018/2019,UEL,1.8	,-	,-	,694	
-	,0(1),-	,Spain,-	,84.6	,-	,6.32,2018/2019,UNL,-	,-	,-	,16	
0.1	,8,-	,Chelsea,-	,88.2	,-	,6.75,2017/2018,UCL,0.8	,1	,-	,705	
0.4	,37,1	,Chelsea,-	,86.7	,1	,7.18,2017/2018,EPL,2.2	,2	,6	,3330	
0.5	,38,4	,Chelsea,-	,87.3	,4	,7.21,2016/2017,EPL,2.1	,1	,4	,3420	
0.4	,8,-	,Chelsea,-	,77.9	,1	,7.40,2015/2016,UCL,1.9	,-	,-	,720	
0.3	,36(1),1	,Chelsea,-	,81.7	,7	,7.03,2015/2016,EPL,1.2	,2	,3	,3202	
-	,4,-	,Chelsea,-	,88.6	,1	,7.46,2014/2015,UCL,0.8	,-	,-	,390	
0.2	,29,3	,Chelsea,1	,83.6	,1	,7.24,2014/2015,EPL,1.3	,-	,3	,2484	
-	,0(1),-	,Spain,-	,100	,-	,6.30,2016,UEC,1	,-	,-	,9	
0.2	,9(1),-	,Chelsea,-	,80.5	,-	,7.37,2013/2014,UCL,1.7	,-	,2	,821	
0.2	,26(3),1	,Chelsea,-	,80.6	,1	,7.26,2013/2014,EPL,1.4	,-	,-	,2325	
-	,2,-	,Spain,-	,85	,-	,6.44,2014,WC,0.5	,-	,-	,180	
-	,1(1),-	,Spain,-	,96.1	,-	,7.82,2013,ICC,0.5	,-	,-	,135	
0.6	,8,-	,Chelsea,-	,76.8	,2	,6.82,2012/2013,UEL,1.3	,-	,-	,720	
-	,1,-	,Chelsea,-	,76.2	,-	,6.46,2012/2013,UCL,-	,-	,-	,61	
0.4	,24(3),1	,Chelsea,-	,81.8	,4	,6.99,2012/2013,EPL,0.9	,-	,4	,2196	
-	,2,-	,Marseille,-	,88.2	,-	,7.29,2012/2013,FL1,2	,-	,-	,180	
0.3	,8,-	,Marseille,-	,76.8	,-	,7.37,2011/2012,UCL,0.9	,-	,-	,710	
0.6	,27(3),3	,Marseille,-	,74.3	,5	,7.05,2011/2012,FL1,0.9	,1	,2	,2522	
0.3	,4,1	,Marseille,-	,78.7	,-	,7.77,2010/2011,UCL,0.3	,-	,-	,360	
0.2	,12(3),2	,Marseille,-	,78.6	,1	,7.11,2010/2011,FL1,1	,-	,1	,1015	
0.2	,33,3	,Osasuna,-	,62.6	,7	,7.04,2009/2010,SLL,0.5	,-	,1	,2970	
0.3,393,21,,1,81,41,7.11,Total / Average,,1.4,8,33,33648
