ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1	,6(2),1	,Chelsea,-	,85.9	,1	,6.77,2019/2020,EPL,4.1	,-	,-	,633	
-	,3,-	,Chelsea,-	,91.4	,1	,6.96,2019/2020,UCL,2.7	,-	,-	,253	
0.6	,29(3),-	,Everton,1	,83.6	,3	,6.78,2018/2019,EPL,3.1	,2	,2	,2613	
0.6	,32(2),3	,Stoke,-	,78.3	,1	,7.12,2017/2018,EPL,3.2	,1	,-	,2888	
0.1	,3(6),-	,Chelsea,-	,80.5	,-	,6.23,2016/2017,EPL,0.6	,-	,1	,247	
0.3	,5(1),-	,Chelsea,-	,78.8	,1	,7.16,2015/2016,UCL,2	,1	,-	,468	
0.7	,21(2),-	,Chelsea,-	,80.4	,-	,6.87,2015/2016,EPL,2.9	,1	,1	,1918	
0.5	,3(1),-	,Chelsea,-	,91	,-	,7.02,2014/2015,UCL,1.3	,-	,-	,306	
0.1	,7(8),-	,Chelsea,-	,80.6	,-	,6.60,2014/2015,EPL,1.5	,-	,-	,644	
0.4	,17(7),3	,Saint-Etienne,1	,83.4	,-	,6.79,2013/2014,FL1,2.3	,-	,1	,1580	
0.8	,18,-	,Saint-Etienne,-	,86.1	,1	,7.05,2012/2013,FL1,2.4	,2	,-	,1550	
0.3	,14(7),1	,Saint-Etienne,-	,83.7	,3	,6.69,2011/2012,FL1,1.5	,2	,-	,1469	
0.5,197,8,,2,82.4,11,6.84,Total / Average,,2.5,9,5,14569
1	,6(2),1	,Chelsea,-	,85.9	,1	,6.77,2019/2020,EPL,4.1	,-	,-	,633	
-	,3,-	,Chelsea,-	,91.4	,1	,6.96,2019/2020,UCL,2.7	,-	,-	,253	
0.6	,29(3),-	,Everton,1	,83.6	,3	,6.78,2018/2019,EPL,3.1	,2	,2	,2613	
0.6	,32(2),3	,Stoke,-	,78.3	,1	,7.12,2017/2018,EPL,3.2	,1	,-	,2888	
0.1	,3(6),-	,Chelsea,-	,80.5	,-	,6.23,2016/2017,EPL,0.6	,-	,1	,247	
0.3	,5(1),-	,Chelsea,-	,78.8	,1	,7.16,2015/2016,UCL,2	,1	,-	,468	
0.7	,21(2),-	,Chelsea,-	,80.4	,-	,6.87,2015/2016,EPL,2.9	,1	,1	,1918	
0.5	,3(1),-	,Chelsea,-	,91	,-	,7.02,2014/2015,UCL,1.3	,-	,-	,306	
0.1	,7(8),-	,Chelsea,-	,80.6	,-	,6.60,2014/2015,EPL,1.5	,-	,-	,644	
0.4	,17(7),3	,Saint-Etienne,1	,83.4	,-	,6.79,2013/2014,FL1,2.3	,-	,1	,1580	
0.8	,18,-	,Saint-Etienne,-	,86.1	,1	,7.05,2012/2013,FL1,2.4	,2	,-	,1550	
0.3	,14(7),1	,Saint-Etienne,-	,83.7	,3	,6.69,2011/2012,FL1,1.5	,2	,-	,1469	
0.5,197,8,,2,82.4,11,6.84,Total / Average,,2.5,9,5,14569
