ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
2.3	,9,1	,Chelsea,-	,81	,-	,7.28,2019/2020,EPL,0.6	,4	,-	,774	
2	,3,-	,Chelsea,-	,77	,-	,6.71,2019/2020,UCL,0.3	,-	,-	,193	
2.5	,38,2	,Derby,-	,76.6	,5	,6.95,2018/2019,EC,0.5	,9	,4	,3321	
1	,1(2),-	,England U21,-	,91.5	,-	,6.26,2019,IEU,-	,-	,1	,143	
2.5	,4(2),1	,Vitesse,-	,78.4	,1	,6.94,2017/2018,UEL,-	,-	,1	,367	
2.2	,25(7),5	,Vitesse,-	,77.8	,5	,7.38,2017/2018,NE,0.3	,14	,9	,2430	
2.3,91,9,,0,78.1,11,7.10,Total / Average,,0.4,27,15,7228
2.3	,9,1	,Chelsea,-	,81	,-	,7.28,2019/2020,EPL,0.6	,4	,-	,774	
2	,3,-	,Chelsea,-	,77	,-	,6.71,2019/2020,UCL,0.3	,-	,-	,193	
2.5	,38,2	,Derby,-	,76.6	,5	,6.95,2018/2019,EC,0.5	,9	,4	,3321	
1	,1(2),-	,England U21,-	,91.5	,-	,6.26,2019,IEU,-	,-	,1	,143	
2.5	,4(2),1	,Vitesse,-	,78.4	,1	,6.94,2017/2018,UEL,-	,-	,1	,367	
2.2	,25(7),5	,Vitesse,-	,77.8	,5	,7.38,2017/2018,NE,0.3	,14	,9	,2430	
2.3,91,9,,0,78.1,11,7.10,Total / Average,,0.4,27,15,7228
