ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,1(2),-	,Chelsea,-	,75.9	,-	,6.26,2019/2020,EPL,1.7	,-	,-	,101	
1	,0(1),-	,Chelsea,-	,100	,1	,6.11,2019/2020,UCL,-	,-	,-	,17	
1.2	,7(20),-	,Chelsea,-	,68.2	,1	,6.43,2018/2019,EPL,1.4	,2	,4	,834	
3.3	,12(2),2	,Chelsea,-	,71.5	,-	,7.57,2018/2019,UEL,2.6	,11	,4	,1125	
1.5	,4,-	,France,-	,69	,-	,6.66,2018/2019,UNL,3	,1	,-	,310	
4.2	,6,-	,Arsenal,-	,64.7	,-	,7.21,2017/2018,UEL,2.3	,3	,-	,540	
1	,1,-	,Chelsea,-	,70	,1	,5.63,2017/2018,UCL,1	,-	,-	,67	
2.3	,6(7),1	,Chelsea,-	,64.4	,-	,6.78,2017/2018,EPL,3.5	,3	,1	,610	
1.1	,1(15),-	,Arsenal,-	,69.9	,-	,6.46,2017/2018,EPL,1.4	,4	,-	,375	
1.5	,3(3),-	,Arsenal,1	,62.2	,-	,6.35,2016/2017,UCL,1.8	,2	,1	,312	
1.3	,11(18),1	,Arsenal,-	,71.5	,2	,6.81,2016/2017,EPL,1.7	,12	,3	,1198	
1.9	,6(1),-	,France,-	,65.4	,1	,6.81,2018,WC,3.3	,-	,1	,546	
2.6	,5(2),1	,Arsenal,1	,67.7	,3	,7.00,2015/2016,UCL,1.7	,5	,-	,388	
2.7	,26(12),1	,Arsenal,-	,68.1	,2	,7.07,2015/2016,EPL,2.7	,16	,6	,2431	
6.5	,2,-	,Arsenal,-	,55.8	,-	,6.74,2014/2015,UCL,5.5	,1	,-	,150	
2.6	,21(6),2	,Arsenal,1	,67.7	,5	,7.23,2014/2015,EPL,3.7	,14	,3	,1867	
2.7	,6,1	,France,-	,60.9	,1	,7.42,2016,UEC,4.2	,3	,2	,456	
1.7	,7,-	,Arsenal,-	,68.2	,1	,6.74,2013/2014,UCL,3	,2	,1	,630	
3.1	,36,3	,Arsenal,-	,68.9	,4	,7.36,2013/2014,EPL,4	,16	,8	,3083	
1.4	,2(3),-	,France,-	,63.5	,-	,6.70,2014,WC,1.6	,1	,1	,165	
2	,4(3),-	,Arsenal,-	,62.8	,2	,6.92,2012/2013,UCL,2.9	,2	,4	,384	
3.1	,24(10),3	,Arsenal,1	,64	,3	,7.08,2012/2013,EPL,3.9	,11	,3	,2325	
0.7	,0(3),-	,France,-	,72.7	,-	,5.92,2012,UEC,-	,-	,-	,32	
4.5	,36,8	,Montpellier,-	,69.1	,6	,7.59,2011/2012,FL1,3.6	,21	,9	,3202	
2.4	,33(4),3	,Montpellier,-	,66.7	,5	,6.84,2010/2011,FL1,2.4	,12	,4	,2912	
2.5,372,26,,4,67.7,38,7.00,Total / Average,,2.8,142,55,24060
0.3	,1(2),-	,Chelsea,-	,75.9	,-	,6.26,2019/2020,EPL,1.7	,-	,-	,101	
1	,0(1),-	,Chelsea,-	,100	,1	,6.11,2019/2020,UCL,-	,-	,-	,17	
1.2	,7(20),-	,Chelsea,-	,68.2	,1	,6.43,2018/2019,EPL,1.4	,2	,4	,834	
3.3	,12(2),2	,Chelsea,-	,71.5	,-	,7.57,2018/2019,UEL,2.6	,11	,4	,1125	
1.5	,4,-	,France,-	,69	,-	,6.66,2018/2019,UNL,3	,1	,-	,310	
4.2	,6,-	,Arsenal,-	,64.7	,-	,7.21,2017/2018,UEL,2.3	,3	,-	,540	
1	,1,-	,Chelsea,-	,70	,1	,5.63,2017/2018,UCL,1	,-	,-	,67	
2.3	,6(7),1	,Chelsea,-	,64.4	,-	,6.78,2017/2018,EPL,3.5	,3	,1	,610	
1.1	,1(15),-	,Arsenal,-	,69.9	,-	,6.46,2017/2018,EPL,1.4	,4	,-	,375	
1.5	,3(3),-	,Arsenal,1	,62.2	,-	,6.35,2016/2017,UCL,1.8	,2	,1	,312	
1.3	,11(18),1	,Arsenal,-	,71.5	,2	,6.81,2016/2017,EPL,1.7	,12	,3	,1198	
1.9	,6(1),-	,France,-	,65.4	,1	,6.81,2018,WC,3.3	,-	,1	,546	
2.6	,5(2),1	,Arsenal,1	,67.7	,3	,7.00,2015/2016,UCL,1.7	,5	,-	,388	
2.7	,26(12),1	,Arsenal,-	,68.1	,2	,7.07,2015/2016,EPL,2.7	,16	,6	,2431	
6.5	,2,-	,Arsenal,-	,55.8	,-	,6.74,2014/2015,UCL,5.5	,1	,-	,150	
2.6	,21(6),2	,Arsenal,1	,67.7	,5	,7.23,2014/2015,EPL,3.7	,14	,3	,1867	
2.7	,6,1	,France,-	,60.9	,1	,7.42,2016,UEC,4.2	,3	,2	,456	
1.7	,7,-	,Arsenal,-	,68.2	,1	,6.74,2013/2014,UCL,3	,2	,1	,630	
3.1	,36,3	,Arsenal,-	,68.9	,4	,7.36,2013/2014,EPL,4	,16	,8	,3083	
1.4	,2(3),-	,France,-	,63.5	,-	,6.70,2014,WC,1.6	,1	,1	,165	
2	,4(3),-	,Arsenal,-	,62.8	,2	,6.92,2012/2013,UCL,2.9	,2	,4	,384	
3.1	,24(10),3	,Arsenal,1	,64	,3	,7.08,2012/2013,EPL,3.9	,11	,3	,2325	
0.7	,0(3),-	,France,-	,72.7	,-	,5.92,2012,UEC,-	,-	,-	,32	
4.5	,36,8	,Montpellier,-	,69.1	,6	,7.59,2011/2012,FL1,3.6	,21	,9	,3202	
2.4	,33(4),3	,Montpellier,-	,66.7	,5	,6.84,2010/2011,FL1,2.4	,12	,4	,2912	
2.5,372,26,,4,67.7,38,7.00,Total / Average,,2.8,142,55,24060
