ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1	,1(3),-	,Sevilla,-	,69.2	,-	,6.11,2019/2020,SLL,0.8	,-	,-	,146	
1.5	,1(1),-	,West Ham,-	,85	,-	,6.30,2019/2020,EPL,-	,1	,-	,107	
3	,2,-	,Sevilla,-	,73.7	,-	,7.46,2019/2020,UEL,1	,2	,-	,151	
1.5	,14(11),-	,West Ham,-	,71.1	,2	,6.59,2018/2019,EPL,0.5	,7	,1	,1339	
1	,16(12),1	,West Ham,-	,73.2	,3	,6.58,2017/2018,EPL,0.5	,8	,-	,1544	
2	,20(6),2	,Bayer Leverku..,-	,73.4	,1	,6.89,2016/2017,GB,1.3	,11	,3	,1815	
3.1	,8,-	,Bayer Leverku..,-	,72.2	,1	,6.78,2016/2017,UCL,1.1	,1	,-	,653	
1.8	,4,-	,Mexico,-	,76.4	,-	,6.81,2018,WC,0.8	,1	,1	,330	
2.3	,25(3),-	,Bayer Leverku..,-	,74.2	,6	,7.10,2015/2016,GB,1.2	,17	,2	,2174	
1.3	,3,-	,Bayer Leverku..,-	,80	,1	,6.74,2015/2016,UEL,1.7	,-	,1	,270	
3.8	,6,-	,Bayer Leverku..,-	,65.4	,-	,7.32,2015/2016,UCL,1.3	,5	,-	,487	
1	,0(1),-	,Manchester Un..,-	,85.7	,-	,6.45,2015/2016,EPL,-	,-	,-	,23	
1.3	,7(16),-	,Real Madrid,-	,82.2	,2	,6.79,2014/2015,SLL,0.3	,7	,4	,859	
2.1	,3(5),-	,Real Madrid,-	,80	,-	,6.51,2014/2015,UCL,0.6	,1	,-	,320	
-	,1,-	,Manchester Un..,-	,90	,-	,6.19,2014/2015,EPL,-	,-	,-	,46	
0.2	,2(3),-	,Manchester Un..,-	,78.6	,-	,6.03,2013/2014,UCL,-	,-	,-	,170	
0.9	,6(18),-	,Manchester Un..,-	,86.2	,2	,6.39,2013/2014,EPL,0.2	,4	,2	,840	
0.8	,0(4),-	,Mexico,-	,65	,-	,6.17,2014,WC,0.5	,1	,-	,76	
3.3	,3,1	,Mexico,-	,81.1	,-	,7.21,2013,ICC,1	,3	,-	,270	
2.3	,5(1),-	,Manchester Un..,-	,83.3	,-	,6.84,2012/2013,UCL,0.2	,3	,-	,442	
2	,9(13),-	,Manchester Un..,-	,82.1	,1	,6.81,2012/2013,EPL,0.2	,10	,3	,949	
