ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.3	,9,-	,Sheffield Uni..,-	,68.2	,-	,6.76,2019/2020,EPL,2.4	,-	,-	,778	
0.4	,39(2),4	,Sheffield Uni..,1	,74.5	,11	,6.99,2018/2019,EC,2.9	,4	,1	,3393	
0.4	,44(1),6	,Sheffield Uni..,-	,71.8	,8	,7.06,2017/2018,EC,3.3	,2	,1	,3887	
0.8	,37(3),1	,Blackpool,-	,71.5	,9	,6.92,2013/2014,EC,2.6	,2	,1	,3241	
-	,1(1),-	,Blackpool,-	,68.2	,1	,6.68,2010/2011,EPL,1.5	,-	,1	,121	
0.5	,2(6),-	,Bolton,-	,67.9	,-	,6.39,2009/2010,EPL,0.3	,-	,1	,237	
0.5,145,11,,1,72,29,6.94,Total / Average,,2.7,8,5,11657
0.3	,9,-	,Sheffield Uni..,-	,68.2	,-	,6.76,2019/2020,EPL,2.4	,-	,-	,778	
0.4	,39(2),4	,Sheffield Uni..,1	,74.5	,11	,6.99,2018/2019,EC,2.9	,4	,1	,3393	
0.4	,44(1),6	,Sheffield Uni..,-	,71.8	,8	,7.06,2017/2018,EC,3.3	,2	,1	,3887	
0.8	,37(3),1	,Blackpool,-	,71.5	,9	,6.92,2013/2014,EC,2.6	,2	,1	,3241	
-	,1(1),-	,Blackpool,-	,68.2	,1	,6.68,2010/2011,EPL,1.5	,-	,1	,121	
0.5	,2(6),-	,Bolton,-	,67.9	,-	,6.39,2009/2010,EPL,0.3	,-	,1	,237	
0.5,145,11,,1,72,29,6.94,Total / Average,,2.7,8,5,11657
