ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,2(1),-	,Newcastle Uni..,-	,73.7	,1	,6.72,2019/2020,EPL,0.7	,-	,-	,196	
0.4	,28(1),-	,Newcastle Uni..,1	,71.6	,6	,6.50,2018/2019,EPL,1	,1	,2	,2475	
0.2	,31(3),-	,Newcastle Uni..,-	,75	,5	,6.75,2017/2018,EPL,1.4	,-	,2	,2842	
0.2	,21(6),1	,Newcastle Uni..,-	,78.6	,3	,7.05,2016/2017,EC,1.7	,1	,5	,1921	
0.2	,21(2),-	,Sunderland,-	,67.6	,2	,6.84,2015/2016,EPL,1	,-	,1	,1813	
-	,0(1),-	,Tottenham,-	,100	,-	,6.11,2014/2015,EPL,-	,-	,-	,11	
0.2	,29,1	,Seattle Sound..,-	,81.5	,5	,7.10,2014,UMLS,0.7	,-	,2	,2580	
0.3	,0(3),-	,USA,-	,76.2	,-	,6.55,2014,WC,1	,-	,-	,112	
0.4	,32(1),1	,Seattle Sound..,1	,74.5	,2	,7.09,2013,UMLS,1.5	,2	,2	,2847	
0.3,182,3,,2,75.1,24,6.88,Total / Average,,1.2,4,14,14797
-	,2(1),-	,Newcastle Uni..,-	,73.7	,1	,6.72,2019/2020,EPL,0.7	,-	,-	,196	
0.4	,28(1),-	,Newcastle Uni..,1	,71.6	,6	,6.50,2018/2019,EPL,1	,1	,2	,2475	
0.2	,31(3),-	,Newcastle Uni..,-	,75	,5	,6.75,2017/2018,EPL,1.4	,-	,2	,2842	
0.2	,21(6),1	,Newcastle Uni..,-	,78.6	,3	,7.05,2016/2017,EC,1.7	,1	,5	,1921	
0.2	,21(2),-	,Sunderland,-	,67.6	,2	,6.84,2015/2016,EPL,1	,-	,1	,1813	
-	,0(1),-	,Tottenham,-	,100	,-	,6.11,2014/2015,EPL,-	,-	,-	,11	
0.2	,29,1	,Seattle Sound..,-	,81.5	,5	,7.10,2014,UMLS,0.7	,-	,2	,2580	
0.3	,0(3),-	,USA,-	,76.2	,-	,6.55,2014,WC,1	,-	,-	,112	
0.4	,32(1),1	,Seattle Sound..,1	,74.5	,2	,7.09,2013,UMLS,1.5	,2	,2	,2847	
0.3,182,3,,2,75.1,24,6.88,Total / Average,,1.2,4,14,14797
