ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.5	,5(1),-	,Newcastle Uni..,-	,75.7	,-	,6.15,2019/2020,EPL,0.2	,-	,-	,416	
0.3	,33(2),-	,Amiens,-	,73.4	,2	,6.49,2018/2019,FL1,1.3	,1	,1	,2973	
-	,0(1),-	,Sweden,-	,40	,-	,5.88,2018/2019,UNL,-	,-	,-	,11	
0.2	,10(2),-	,Bologna,-	,79.5	,2	,6.42,2017/2018,ISA,1.3	,-	,-	,947	
0.2	,16(10),-	,Bologna,2	,79.7	,1	,6.35,2016/2017,ISA,0.7	,-	,-	,1651	
-	,2(2),-	,Bologna,-	,81	,-	,6.43,2015/2016,ISA,-	,-	,-	,144	
-	,1(1),-	,Sweden,-	,65.9	,-	,6.24,2018,WC,0.5	,-	,-	,93	
-	,1(1),-	,Helsingborg,-	,78.4	,-	,6.80,2012/2013,UEL,0.5	,-	,-	,155	
0.2,88,0,,2,76.1,5,6.40,Total / Average,,0.9,1,1,6390
0.5	,5(1),-	,Newcastle Uni..,-	,75.7	,-	,6.15,2019/2020,EPL,0.2	,-	,-	,416	
0.3	,33(2),-	,Amiens,-	,73.4	,2	,6.49,2018/2019,FL1,1.3	,1	,1	,2973	
-	,0(1),-	,Sweden,-	,40	,-	,5.88,2018/2019,UNL,-	,-	,-	,11	
0.2	,10(2),-	,Bologna,-	,79.5	,2	,6.42,2017/2018,ISA,1.3	,-	,-	,947	
0.2	,16(10),-	,Bologna,2	,79.7	,1	,6.35,2016/2017,ISA,0.7	,-	,-	,1651	
-	,2(2),-	,Bologna,-	,81	,-	,6.43,2015/2016,ISA,-	,-	,-	,144	
-	,1(1),-	,Sweden,-	,65.9	,-	,6.24,2018,WC,0.5	,-	,-	,93	
-	,1(1),-	,Helsingborg,-	,78.4	,-	,6.80,2012/2013,UEL,0.5	,-	,-	,155	
0.2,88,0,,2,76.1,5,6.40,Total / Average,,0.9,1,1,6390
