ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1	,0(1),-	,Everton,-	,-	,-	,5.90,2019/2020,EPL,1	,-	,-	,35	
1.5	,10(15),-	,Everton,-	,70.5	,3	,6.44,2018/2019,EPL,1.5	,3	,3	,1050	
1	,4,-	,Turkey,-	,69.4	,1	,6.30,2018/2019,UNL,1.5	,-	,1	,360	
3.2	,12(4),1	,Besiktas,-	,78.2	,2	,6.92,2017/2018,TS,1.6	,8	,1	,1153	
2.5	,5(1),1	,Besiktas,-	,71.3	,-	,7.41,2017/2018,UCL,2	,4	,2	,449	
1.4	,12(2),-	,Everton,-	,70.3	,-	,6.74,2017/2018,EPL,2.2	,5	,-	,991	
2.8	,29(4),5	,Besiktas,-	,74.7	,5	,7.09,2016/2017,TS,1.2	,20	,5	,2538	
0.7	,0(6),-	,Besiktas,-	,79.7	,1	,6.42,2016/2017,UCL,0.8	,1	,-	,221	
1.8	,3(3),1	,Besiktas,-	,83.5	,-	,7.15,2016/2017,UEL,1.2	,3	,-	,324	
2	,3(26),1	,Besiktas,-	,81.7	,2	,6.60,2015/2016,TS,0.6	,8	,4	,696	
2	,2(4),1	,Besiktas,-	,71.1	,-	,6.66,2015/2016,UEL,0.7	,2	,1	,215	
1.8	,6(12),1	,Besiktas,-	,69.6	,1	,6.52,2014/2015,TS,1.1	,5	,-	,713	
1.5	,1(3),-	,Besiktas,-	,81.8	,-	,6.57,2014/2015,UEL,0.5	,1	,-	,188	
0.5	,1(1),-	,Turkey,-	,58.3	,1	,5.90,2016,UEC,1	,-	,-	,70	
2	,0(1),-	,Eintracht Fra..,-	,83.3	,-	,6.28,2009/2010,GB,1	,-	,-	,16	
2,171,11,,0,74.4,16,6.73,Total / Average,,1.2,60,17,9019
1	,0(1),-	,Everton,-	,-	,-	,5.90,2019/2020,EPL,1	,-	,-	,35	
1.5	,10(15),-	,Everton,-	,70.5	,3	,6.44,2018/2019,EPL,1.5	,3	,3	,1050	
1	,4,-	,Turkey,-	,69.4	,1	,6.30,2018/2019,UNL,1.5	,-	,1	,360	
3.2	,12(4),1	,Besiktas,-	,78.2	,2	,6.92,2017/2018,TS,1.6	,8	,1	,1153	
2.5	,5(1),1	,Besiktas,-	,71.3	,-	,7.41,2017/2018,UCL,2	,4	,2	,449	
1.4	,12(2),-	,Everton,-	,70.3	,-	,6.74,2017/2018,EPL,2.2	,5	,-	,991	
2.8	,29(4),5	,Besiktas,-	,74.7	,5	,7.09,2016/2017,TS,1.2	,20	,5	,2538	
0.7	,0(6),-	,Besiktas,-	,79.7	,1	,6.42,2016/2017,UCL,0.8	,1	,-	,221	
1.8	,3(3),1	,Besiktas,-	,83.5	,-	,7.15,2016/2017,UEL,1.2	,3	,-	,324	
2	,3(26),1	,Besiktas,-	,81.7	,2	,6.60,2015/2016,TS,0.6	,8	,4	,696	
2	,2(4),1	,Besiktas,-	,71.1	,-	,6.66,2015/2016,UEL,0.7	,2	,1	,215	
1.8	,6(12),1	,Besiktas,-	,69.6	,1	,6.52,2014/2015,TS,1.1	,5	,-	,713	
1.5	,1(3),-	,Besiktas,-	,81.8	,-	,6.57,2014/2015,UEL,0.5	,1	,-	,188	
0.5	,1(1),-	,Turkey,-	,58.3	,1	,5.90,2016,UEC,1	,-	,-	,70	
2	,0(1),-	,Eintracht Fra..,-	,83.3	,-	,6.28,2009/2010,GB,1	,-	,-	,16	
2,171,11,,0,74.4,16,6.73,Total / Average,,1.2,60,17,9019
