ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,1(1),-	,Everton,-	,80.6	,1	,6.63,2019/2020,EPL,-	,-	,-	,121	
0.8	,4,-	,Monaco,-	,84.1	,2	,6.24,2018/2019,UCL,0.5	,-	,-	,334	
0.7	,22(4),-	,Monaco,-	,74.7	,5	,6.58,2018/2019,FL1,1.2	,-	,2	,2072	
-	,3,-	,Monaco,-	,77.2	,2	,6.34,2017/2018,UCL,0.7	,-	,-	,253	
0.7	,25(2),4	,Monaco,-	,85.3	,4	,7.14,2017/2018,FL1,1.6	,2	,7	,2157	
0.6	,9,-	,Monaco,-	,75.2	,2	,7.23,2016/2017,UCL,2.1	,1	,1	,810	
0.8	,26(3),1	,Monaco,-	,81.3	,7	,7.17,2016/2017,FL1,1.1	,2	,5	,2322	
-	,1,-	,France,-	,86.8	,-	,7.22,2018,WC,3	,-	,-	,90	
1.1	,36(1),3	,Lille,-	,78.5	,3	,7.45,2015/2016,FL1,1.5	,4	,3	,3275	
1	,1(1),-	,Lille,-	,81.6	,-	,6.68,2014/2015,UEL,1	,-	,-	,137	
0.8	,23(2),2	,Lille,1	,80.2	,6	,7.20,2014/2015,FL1,1.2	,2	,2	,2097	
0.9	,15(5),-	,Lille,-	,71.5	,3	,6.96,2013/2014,FL1,0.8	,-	,-	,1354	
0.7	,2(1),-	,Lille,1	,76.7	,1	,6.73,2012/2013,UCL,0.3	,1	,-	,169	
0.5	,7(7),-	,Lille,-	,76.9	,3	,6.95,2012/2013,FL1,1.2	,1	,1	,781	
0.8,202,10,,2,78.7,39,7.07,Total / Average,,1.3,13,21,15972
-	,1(1),-	,Everton,-	,80.6	,1	,6.63,2019/2020,EPL,-	,-	,-	,121	
0.8	,4,-	,Monaco,-	,84.1	,2	,6.24,2018/2019,UCL,0.5	,-	,-	,334	
0.7	,22(4),-	,Monaco,-	,74.7	,5	,6.58,2018/2019,FL1,1.2	,-	,2	,2072	
-	,3,-	,Monaco,-	,77.2	,2	,6.34,2017/2018,UCL,0.7	,-	,-	,253	
0.7	,25(2),4	,Monaco,-	,85.3	,4	,7.14,2017/2018,FL1,1.6	,2	,7	,2157	
0.6	,9,-	,Monaco,-	,75.2	,2	,7.23,2016/2017,UCL,2.1	,1	,1	,810	
0.8	,26(3),1	,Monaco,-	,81.3	,7	,7.17,2016/2017,FL1,1.1	,2	,5	,2322	
-	,1,-	,France,-	,86.8	,-	,7.22,2018,WC,3	,-	,-	,90	
1.1	,36(1),3	,Lille,-	,78.5	,3	,7.45,2015/2016,FL1,1.5	,4	,3	,3275	
1	,1(1),-	,Lille,-	,81.6	,-	,6.68,2014/2015,UEL,1	,-	,-	,137	
0.8	,23(2),2	,Lille,1	,80.2	,6	,7.20,2014/2015,FL1,1.2	,2	,2	,2097	
0.9	,15(5),-	,Lille,-	,71.5	,3	,6.96,2013/2014,FL1,0.8	,-	,-	,1354	
0.7	,2(1),-	,Lille,1	,76.7	,1	,6.73,2012/2013,UCL,0.3	,1	,-	,169	
0.5	,7(7),-	,Lille,-	,76.9	,3	,6.95,2012/2013,FL1,1.2	,1	,1	,781	
0.8,202,10,,2,78.7,39,7.07,Total / Average,,1.3,13,21,15972
