ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.3	,6(1),-	,Everton,-	,53.6	,1	,6.57,2019/2020,EPL,5	,2	,-	,480	
1.5	,19(16),-	,Everton,-	,61.7	,3	,6.61,2018/2019,EPL,3.2	,6	,2	,1776	
1.5	,1(1),-	,England U21,-	,80	,-	,6.19,2019,IEU,2	,-	,-	,106	
1	,2(3),-	,Everton,-	,67.2	,1	,6.08,2017/2018,UEL,1.8	,-	,-	,229	
1.3	,18(14),2	,Everton,-	,60.9	,4	,6.72,2017/2018,EPL,4.2	,4	,6	,1876	
0.6	,5(6),-	,Everton,-	,66.7	,1	,6.26,2016/2017,EPL,1.5	,1	,-	,346	
1.3,92,2,,0,62.1,10,6.57,Total / Average,,3.4,13,8,4813
1.3	,6(1),-	,Everton,-	,53.6	,1	,6.57,2019/2020,EPL,5	,2	,-	,480	
1.5	,19(16),-	,Everton,-	,61.7	,3	,6.61,2018/2019,EPL,3.2	,6	,2	,1776	
1.5	,1(1),-	,England U21,-	,80	,-	,6.19,2019,IEU,2	,-	,-	,106	
1	,2(3),-	,Everton,-	,67.2	,1	,6.08,2017/2018,UEL,1.8	,-	,-	,229	
1.3	,18(14),2	,Everton,-	,60.9	,4	,6.72,2017/2018,EPL,4.2	,4	,6	,1876	
0.6	,5(6),-	,Everton,-	,66.7	,1	,6.26,2016/2017,EPL,1.5	,1	,-	,346	
1.3,92,2,,0,62.1,10,6.57,Total / Average,,3.4,13,8,4813
