ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.2	,5,-	,Everton,-	,86.6	,2	,6.54,2019/2020,EPL,1	,-	,-	,450	
0.4	,8(3),-	,Manchester Ci..,1	,91.3	,1	,6.82,2018/2019,EPL,0.8	,-	,1	,725	
1	,2(4),-	,Manchester Ci..,-	,88.7	,-	,6.23,2018/2019,UCL,0.8	,-	,-	,257	
0.7	,3,-	,England,-	,89.8	,-	,6.90,2018/2019,UNL,1	,-	,-	,256	
0.2	,4(1),-	,Manchester Ci..,-	,92.7	,-	,7.04,2017/2018,UCL,0.6	,-	,-	,383	
0.5	,21(1),1	,Manchester Ci..,-	,93	,2	,7.16,2017/2018,EPL,1	,1	,2	,1746	
0.9	,2(5),-	,Manchester Ci..,-	,93.3	,1	,6.56,2016/2017,EPL,0.6	,1	,-	,220	
0.8	,2(2),-	,England,-	,90.7	,-	,6.53,2018,WC,0.5	,-	,-	,220	
0.2	,1(4),-	,Manchester Ci..,-	,87.7	,-	,6.16,2015/2016,UCL,0.2	,-	,-	,116	
0.8	,8(9),1	,Manchester Ci..,-	,85.7	,-	,6.75,2015/2016,EPL,0.4	,2	,-	,756	
1.5	,27(1),1	,Aston Villa,1	,85.2	,1	,7.08,2014/2015,EPL,0.7	,-	,3	,2434	
1.1	,33(1),2	,Aston Villa,-	,83.6	,7	,7.12,2013/2014,EPL,1	,3	,2	,3003	
0.7	,19(5),-	,Aston Villa,-	,87.8	,6	,6.88,2012/2013,EPL,0.5	,-	,-	,1703	
0.6	,10(1),-	,Aston Villa,-	,81.3	,3	,6.66,2011/2012,EPL,0.5	,-	,-	,855	
0.3	,4(3),-	,Aston Villa,-	,83.3	,1	,6.63,2010/2011,EPL,0.3	,-	,-	,415	
0.4	,4(4),-	,Aston Villa,-	,84.4	,3	,6.44,2009/2010,EPL,0.3	,-	,-	,292	
0.8,197,5,,2,87,27,6.87,Total / Average,,0.7,7,8,13831
0.2	,5,-	,Everton,-	,86.6	,2	,6.54,2019/2020,EPL,1	,-	,-	,450	
0.4	,8(3),-	,Manchester Ci..,1	,91.3	,1	,6.82,2018/2019,EPL,0.8	,-	,1	,725	
1	,2(4),-	,Manchester Ci..,-	,88.7	,-	,6.23,2018/2019,UCL,0.8	,-	,-	,257	
0.7	,3,-	,England,-	,89.8	,-	,6.90,2018/2019,UNL,1	,-	,-	,256	
0.2	,4(1),-	,Manchester Ci..,-	,92.7	,-	,7.04,2017/2018,UCL,0.6	,-	,-	,383	
0.5	,21(1),1	,Manchester Ci..,-	,93	,2	,7.16,2017/2018,EPL,1	,1	,2	,1746	
0.9	,2(5),-	,Manchester Ci..,-	,93.3	,1	,6.56,2016/2017,EPL,0.6	,1	,-	,220	
0.8	,2(2),-	,England,-	,90.7	,-	,6.53,2018,WC,0.5	,-	,-	,220	
0.2	,1(4),-	,Manchester Ci..,-	,87.7	,-	,6.16,2015/2016,UCL,0.2	,-	,-	,116	
0.8	,8(9),1	,Manchester Ci..,-	,85.7	,-	,6.75,2015/2016,EPL,0.4	,2	,-	,756	
1.5	,27(1),1	,Aston Villa,1	,85.2	,1	,7.08,2014/2015,EPL,0.7	,-	,3	,2434	
1.1	,33(1),2	,Aston Villa,-	,83.6	,7	,7.12,2013/2014,EPL,1	,3	,2	,3003	
0.7	,19(5),-	,Aston Villa,-	,87.8	,6	,6.88,2012/2013,EPL,0.5	,-	,-	,1703	
0.6	,10(1),-	,Aston Villa,-	,81.3	,3	,6.66,2011/2012,EPL,0.5	,-	,-	,855	
0.3	,4(3),-	,Aston Villa,-	,83.3	,1	,6.63,2010/2011,EPL,0.3	,-	,-	,415	
0.4	,4(4),-	,Aston Villa,-	,84.4	,3	,6.44,2009/2010,EPL,0.3	,-	,-	,292	
0.8,197,5,,2,87,27,6.87,Total / Average,,0.7,7,8,13831
