ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
1.9	,8(1),-	,Everton,-	,80.6	,-	,6.76,2019/2020,EPL,0.1	,1	,1	,633	
2.3	,36(2),6	,Everton,-	,76.2	,3	,7.16,2018/2019,EPL,0.5	,13	,6	,3134	
2.3	,3,-	,Iceland,-	,78.2	,-	,6.95,2018/2019,UNL,0.7	,-	,-	,270	
1.5	,3(1),-	,Everton,-	,80	,1	,6.72,2017/2018,UEL,1	,-	,2	,303	
1.4	,25(2),1	,Everton,-	,74.9	,2	,6.88,2017/2018,EPL,0.7	,4	,3	,2262	
3.1	,37(1),4	,Swansea,-	,77	,2	,7.25,2016/2017,EPL,0.2	,9	,13	,3329	
3	,3,-	,Iceland,-	,77.7	,-	,7.44,2018,WC,-	,1	,-	,270	
2.4	,32(4),3	,Swansea,-	,78.9	,6	,6.91,2015/2016,EPL,0.1	,11	,3	,2917	
2.1	,32,2	,Swansea,-	,84.9	,2	,7.18,2014/2015,EPL,0.3	,7	,10	,2697	
2	,5,-	,Iceland,-	,83.2	,1	,7.10,2016,UEC,0.2	,1	,1	,450	
2.2	,5(1),-	,Tottenham,-	,84.7	,-	,7.00,2013/2014,UEL,0.7	,-	,1	,435	
1.5	,14(11),1	,Tottenham,-	,84.4	,2	,6.61,2013/2014,EPL,0.2	,5	,-	,1276	
1.4	,5(6),2	,Tottenham,-	,83.5	,-	,6.89,2012/2013,UEL,0.4	,3	,1	,591	
1.6	,12(21),1	,Tottenham,-	,80.6	,-	,6.53,2012/2013,EPL,0.2	,3	,4	,1221	
2.1	,7,-	,Hoffenheim,-	,86.3	,-	,6.67,2011/2012,GB,0.1	,-	,1	,577	
3.9	,17(1),3	,Swansea,-	,84.5	,-	,7.63,2011/2012,EPL,0.2	,7	,3	,1500	
1.9	,10(19),1	,Hoffenheim,-	,77.8	,-	,6.67,2010/2011,GB,-	,9	,2	,1277	
2.2,324,24,,0,79.9,19,6.96,Total / Average,,0.3,74,51,23142
1.9	,8(1),-	,Everton,-	,80.6	,-	,6.76,2019/2020,EPL,0.1	,1	,1	,633	
2.3	,36(2),6	,Everton,-	,76.2	,3	,7.16,2018/2019,EPL,0.5	,13	,6	,3134	
2.3	,3,-	,Iceland,-	,78.2	,-	,6.95,2018/2019,UNL,0.7	,-	,-	,270	
1.5	,3(1),-	,Everton,-	,80	,1	,6.72,2017/2018,UEL,1	,-	,2	,303	
1.4	,25(2),1	,Everton,-	,74.9	,2	,6.88,2017/2018,EPL,0.7	,4	,3	,2262	
3.1	,37(1),4	,Swansea,-	,77	,2	,7.25,2016/2017,EPL,0.2	,9	,13	,3329	
3	,3,-	,Iceland,-	,77.7	,-	,7.44,2018,WC,-	,1	,-	,270	
2.4	,32(4),3	,Swansea,-	,78.9	,6	,6.91,2015/2016,EPL,0.1	,11	,3	,2917	
2.1	,32,2	,Swansea,-	,84.9	,2	,7.18,2014/2015,EPL,0.3	,7	,10	,2697	
2	,5,-	,Iceland,-	,83.2	,1	,7.10,2016,UEC,0.2	,1	,1	,450	
2.2	,5(1),-	,Tottenham,-	,84.7	,-	,7.00,2013/2014,UEL,0.7	,-	,1	,435	
1.5	,14(11),1	,Tottenham,-	,84.4	,2	,6.61,2013/2014,EPL,0.2	,5	,-	,1276	
1.4	,5(6),2	,Tottenham,-	,83.5	,-	,6.89,2012/2013,UEL,0.4	,3	,1	,591	
1.6	,12(21),1	,Tottenham,-	,80.6	,-	,6.53,2012/2013,EPL,0.2	,3	,4	,1221	
2.1	,7,-	,Hoffenheim,-	,86.3	,-	,6.67,2011/2012,GB,0.1	,-	,1	,577	
3.9	,17(1),3	,Swansea,-	,84.5	,-	,7.63,2011/2012,EPL,0.2	,7	,3	,1500	
1.9	,10(19),1	,Hoffenheim,-	,77.8	,-	,6.67,2010/2011,GB,-	,9	,2	,1277	
2.2,324,24,,0,79.9,19,6.96,Total / Average,,0.3,74,51,23142
