ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,1(1),-	,Everton,-	,71.4	,-	,6.76,2019/2020,EPL,1.5	,-	,-	,135	
0.3	,2(1),-	,Ivory Coast,-	,74.2	,-	,6.69,2019,ACoN,2	,-	,1	,212	
1.2	,30(1),-	,Mainz 05,-	,80.4	,3	,6.70,2018/2019,GB,1.7	,2	,1	,2674	
0.9	,29(1),2	,Mainz 05,-	,78.6	,4	,7.04,2017/2018,GB,2.2	,1	,3	,2591	
0.9	,21(4),-	,Mainz 05,3	,71.3	,2	,6.53,2016/2017,GB,2	,-	,-	,1825	
0.6	,5,-	,Mainz 05,-	,79.2	,-	,6.94,2016/2017,UEL,1.6	,-	,-	,422	
0.2	,29(4),-	,Lens,1	,69.3	,3	,6.68,2014/2015,FL1,1.5	,-	,-	,2716	
0.8,129,2,,4,75,12,6.75,Total / Average,,1.8,3,5,10575
-	,1(1),-	,Everton,-	,71.4	,-	,6.76,2019/2020,EPL,1.5	,-	,-	,135	
0.3	,2(1),-	,Ivory Coast,-	,74.2	,-	,6.69,2019,ACoN,2	,-	,1	,212	
1.2	,30(1),-	,Mainz 05,-	,80.4	,3	,6.70,2018/2019,GB,1.7	,2	,1	,2674	
0.9	,29(1),2	,Mainz 05,-	,78.6	,4	,7.04,2017/2018,GB,2.2	,1	,3	,2591	
0.9	,21(4),-	,Mainz 05,3	,71.3	,2	,6.53,2016/2017,GB,2	,-	,-	,1825	
0.6	,5,-	,Mainz 05,-	,79.2	,-	,6.94,2016/2017,UEL,1.6	,-	,-	,422	
0.2	,29(4),-	,Lens,1	,69.3	,3	,6.68,2014/2015,FL1,1.5	,-	,-	,2716	
0.8,129,2,,4,75,12,6.75,Total / Average,,1.8,3,5,10575
