ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
-	,0(2),-	,Everton,-	,50	,-	,6.21,2019/2020,EPL,1	,-	,-	,18	
0.7	,21,2	,West Bromwich..,-	,62.5	,6	,7.04,2018/2019,EC,2.1	,1	,4	,1869	
-	,4(1),-	,Everton,-	,76.7	,1	,6.61,2018/2019,EPL,2.8	,-	,-	,407	
0.3	,4,-	,Everton,-	,74	,-	,6.23,2017/2018,UEL,2.5	,-	,-	,360	
0.4	,13(2),-	,Everton,-	,67.4	,3	,6.81,2017/2018,EPL,2.2	,-	,-	,1183	
0.3	,16(2),-	,Everton,-	,74.8	,2	,6.90,2016/2017,EPL,1.8	,-	,1	,1373	
0.4,65,2,,0,68.4,12,6.84,Total / Average,,2.1,1,5,5210
-	,0(2),-	,Everton,-	,50	,-	,6.21,2019/2020,EPL,1	,-	,-	,18	
0.7	,21,2	,West Bromwich..,-	,62.5	,6	,7.04,2018/2019,EC,2.1	,1	,4	,1869	
-	,4(1),-	,Everton,-	,76.7	,1	,6.61,2018/2019,EPL,2.8	,-	,-	,407	
0.3	,4,-	,Everton,-	,74	,-	,6.23,2017/2018,UEL,2.5	,-	,-	,360	
0.4	,13(2),-	,Everton,-	,67.4	,3	,6.81,2017/2018,EPL,2.2	,-	,-	,1183	
0.3	,16(2),-	,Everton,-	,74.8	,2	,6.90,2016/2017,EPL,1.8	,-	,1	,1373	
0.4,65,2,,0,68.4,12,6.84,Total / Average,,2.1,1,5,5210
