ShotsPerGame,Apps,MotM,Team,RedCards,PassPercentage,YellowCards,WSRating,Season,Tournament,AerielsWon,Goals,Assits,Mins
0.5	,8,-	,Everton,1	,78.5	,2	,6.66,2019/2020,EPL,1.5	,-	,1	,667	
0.5	,29,-	,Everton,-	,78.1	,1	,6.88,2018/2019,EPL,1.6	,2	,2	,2560	
-	,2,-	,Ireland,-	,78.6	,-	,6.67,2018/2019,UNL,1	,-	,-	,180	
0.4	,12,-	,Everton,-	,73.4	,-	,6.87,2017/2018,EPL,1.2	,-	,1	,1036	
0.7	,26,2	,Everton,-	,77.9	,3	,7.12,2016/2017,EPL,0.8	,4	,3	,2317	
1	,27(1),-	,Everton,-	,84.1	,4	,6.90,2015/2016,EPL,0.5	,1	,3	,2386	
0.6	,5,-	,Everton,-	,77	,-	,7.18,2014/2015,UEL,0.6	,2	,-	,450	
0.5	,34(1),-	,Everton,-	,84.5	,5	,6.92,2014/2015,EPL,0.6	,3	,2	,3065	
0.3	,4,-	,Ireland,-	,68.3	,1	,6.54,2016,UEC,1.3	,-	,1	,360	
0.8	,36,1	,Everton,-	,88.5	,3	,7.32,2013/2014,EPL,0.4	,6	,2	,3229	
0.4	,24(2),-	,Everton,-	,80.5	,4	,7.12,2012/2013,EPL,0.6	,-	,5	,2163	
0.8	,14(4),-	,Everton,-	,82.6	,2	,6.47,2011/2012,EPL,0.2	,-	,-	,1133	
1.2	,25(9),1	,Everton,1	,78	,4	,6.74,2010/2011,EPL,0.4	,4	,1	,2259	
0.3	,0(3),-	,Everton,-	,48.6	,-	,6.85,2009/2010,EPL,-	,-	,1	,106	
0.7,266,4,,2,80.8,29,6.94,Total / Average,,0.7,22,22,21911
0.5	,8,-	,Everton,1	,78.5	,2	,6.66,2019/2020,EPL,1.5	,-	,1	,667	
0.5	,29,-	,Everton,-	,78.1	,1	,6.88,2018/2019,EPL,1.6	,2	,2	,2560	
-	,2,-	,Ireland,-	,78.6	,-	,6.67,2018/2019,UNL,1	,-	,-	,180	
0.4	,12,-	,Everton,-	,73.4	,-	,6.87,2017/2018,EPL,1.2	,-	,1	,1036	
0.7	,26,2	,Everton,-	,77.9	,3	,7.12,2016/2017,EPL,0.8	,4	,3	,2317	
1	,27(1),-	,Everton,-	,84.1	,4	,6.90,2015/2016,EPL,0.5	,1	,3	,2386	
0.6	,5,-	,Everton,-	,77	,-	,7.18,2014/2015,UEL,0.6	,2	,-	,450	
0.5	,34(1),-	,Everton,-	,84.5	,5	,6.92,2014/2015,EPL,0.6	,3	,2	,3065	
0.3	,4,-	,Ireland,-	,68.3	,1	,6.54,2016,UEC,1.3	,-	,1	,360	
0.8	,36,1	,Everton,-	,88.5	,3	,7.32,2013/2014,EPL,0.4	,6	,2	,3229	
0.4	,24(2),-	,Everton,-	,80.5	,4	,7.12,2012/2013,EPL,0.6	,-	,5	,2163	
0.8	,14(4),-	,Everton,-	,82.6	,2	,6.47,2011/2012,EPL,0.2	,-	,-	,1133	
1.2	,25(9),1	,Everton,1	,78	,4	,6.74,2010/2011,EPL,0.4	,4	,1	,2259	
0.3	,0(3),-	,Everton,-	,48.6	,-	,6.85,2009/2010,EPL,-	,-	,1	,106	
0.7,266,4,,2,80.8,29,6.94,Total / Average,,0.7,22,22,21911
